item>>brand,item>>categories,item>>color,item>>currency,item>>description,item>>gender,item>>image,item>>instock,item>>price,item>>rating,item>>reviews,item>>seller,item>>size,item>>sku,item>>title,item>>url
AsYou,"Women, Dresses, Party Dresses",Black,GBP,Mini dress by ASYOU Cue the party playlist Square neck Cami straps Split hem Slim fit Close-fitting cut,Women,https://images.asos-media.com/products/asyou-satin-square-neck-cami-mini-dress-with-split-front-in-black/22206820-1-black?$n_1280w$,yes,15.99,2.8,66,,UK 8,10968819,ASYOU satin square neck cami mini dress with split front in black,https://www.asos.com/asyou/asyou-satin-square-neck-cami-mini-dress-with-split-front-in-black/prd/22206820
AsYou,"Women, Dresses, Party Dresses",Black,GBP,Mini dress by ASYOU Cue the party playlist Square neck Cami straps Split hem Slim fit Close-fitting cut,Women,https://images.asos-media.com/products/asyou-satin-square-neck-cami-mini-dress-with-split-front-in-black/22206820-1-black?$n_1280w$,yes,15.99,2.8,66,,UK 10,10968820,ASYOU satin square neck cami mini dress with split front in black,https://www.asos.com/asyou/asyou-satin-square-neck-cami-mini-dress-with-split-front-in-black/prd/22206820
AsYou,"Women, Dresses, Party Dresses",Black,GBP,Mini dress by ASYOU Cue the party playlist Square neck Cami straps Split hem Slim fit Close-fitting cut,Women,https://images.asos-media.com/products/asyou-satin-square-neck-cami-mini-dress-with-split-front-in-black/22206820-1-black?$n_1280w$,yes,15.99,2.8,66,,UK 12,10968821,ASYOU satin square neck cami mini dress with split front in black,https://www.asos.com/asyou/asyou-satin-square-neck-cami-mini-dress-with-split-front-in-black/prd/22206820
AsYou,"Women, Dresses, Party Dresses",Black,GBP,Mini dress by ASYOU Cue the party playlist Square neck Cami straps Split hem Slim fit Close-fitting cut,Women,https://images.asos-media.com/products/asyou-satin-square-neck-cami-mini-dress-with-split-front-in-black/22206820-1-black?$n_1280w$,yes,15.99,2.8,66,,UK 14,10968822,ASYOU satin square neck cami mini dress with split front in black,https://www.asos.com/asyou/asyou-satin-square-neck-cami-mini-dress-with-split-front-in-black/prd/22206820
AsYou,"Women, Dresses, Party Dresses",Black,GBP,Mini dress by ASYOU Cue the party playlist Square neck Cami straps Split hem Slim fit Close-fitting cut,Women,https://images.asos-media.com/products/asyou-satin-square-neck-cami-mini-dress-with-split-front-in-black/22206820-1-black?$n_1280w$,yes,15.99,2.8,66,,UK 16,10968823,ASYOU satin square neck cami mini dress with split front in black,https://www.asos.com/asyou/asyou-satin-square-neck-cami-mini-dress-with-split-front-in-black/prd/22206820
AsYou,"Women, Dresses, Party Dresses",Black,GBP,Mini dress by ASYOU Cue the party playlist Square neck Cami straps Split hem Slim fit Close-fitting cut,Women,https://images.asos-media.com/products/asyou-satin-square-neck-cami-mini-dress-with-split-front-in-black/22206820-1-black?$n_1280w$,no,15.99,2.8,66,,UK 18,10968824,ASYOU satin square neck cami mini dress with split front in black,https://www.asos.com/asyou/asyou-satin-square-neck-cami-mini-dress-with-split-front-in-black/prd/22206820
ASOS DESIGN,"Women, Dresses, Party Dresses",Black,GBP,Midi dress by ASOS DESIGN Easily dressed up or down Scoop neck and back Plain design Slim fit Cut close to the body,Women,https://images.asos-media.com/products/asos-design-scoop-neck-midi-satin-slip-dress-in-black/14296625-1-black?$n_1280w$,yes,28.0,4,333,,UK 4,9526687,ASOS DESIGN scoop neck midi satin slip dress in black,https://www.asos.com/asos-design/asos-design-scoop-neck-midi-satin-slip-dress-in-black/prd/14296625
ASOS DESIGN,"Women, Dresses, Party Dresses",Black,GBP,Midi dress by ASOS DESIGN Easily dressed up or down Scoop neck and back Plain design Slim fit Cut close to the body,Women,https://images.asos-media.com/products/asos-design-scoop-neck-midi-satin-slip-dress-in-black/14296625-1-black?$n_1280w$,yes,28.0,4,333,,UK 6,9526688,ASOS DESIGN scoop neck midi satin slip dress in black,https://www.asos.com/asos-design/asos-design-scoop-neck-midi-satin-slip-dress-in-black/prd/14296625
ASOS DESIGN,"Women, Dresses, Party Dresses",Black,GBP,Midi dress by ASOS DESIGN Easily dressed up or down Scoop neck and back Plain design Slim fit Cut close to the body,Women,https://images.asos-media.com/products/asos-design-scoop-neck-midi-satin-slip-dress-in-black/14296625-1-black?$n_1280w$,yes,28.0,4,333,,UK 8,9526689,ASOS DESIGN scoop neck midi satin slip dress in black,https://www.asos.com/asos-design/asos-design-scoop-neck-midi-satin-slip-dress-in-black/prd/14296625
ASOS DESIGN,"Women, Dresses, Party Dresses",Black,GBP,Midi dress by ASOS DESIGN Easily dressed up or down Scoop neck and back Plain design Slim fit Cut close to the body,Women,https://images.asos-media.com/products/asos-design-scoop-neck-midi-satin-slip-dress-in-black/14296625-1-black?$n_1280w$,yes,28.0,4,333,,UK 10,9526690,ASOS DESIGN scoop neck midi satin slip dress in black,https://www.asos.com/asos-design/asos-design-scoop-neck-midi-satin-slip-dress-in-black/prd/14296625
