item>>01 ASIN,item>>02 Parent ASIN,item>>03 Title,item>>04 Brand,item>>06 Fulfilled by Amazon,item>>07 Sales Rank 1,item>>08 Sales Rank 1 Caregory,item>>09 Sales Rank 2,item>>10 Sales Rank 2 Category,item>>11 Sales Rank 3,item>>12 Sales Rank 3 Category,item>>13 Categories,item>>14 URL,item>>15 Color,item>>16 Size,item>>20 Availability,item>>21 Images
B078H7FFWS,,Amayra Women's Cotton Anarkali Kurti(Blue),Amayra,no,53,Clothing & Accessories Clothing & Accessories,4,Women's Kurtas & Kurtis,,,Clothing & Accessories|Women|Ethnic Wear|Kurtas & Kurtis,https://www.amazon.in/dp/B078H7FFWS?psc=1,,,Currently unavailable. We don't know when or if this item will be back in stock.,https://images-na.ssl-images-amazon.com/images/I/71o9OFFLIDL._UL1440_.jpg|https://images-na.ssl-images-amazon.com/images/I/714t7Xem5EL._UL1440_.jpg|https://images-na.ssl-images-amazon.com/images/I/71tdEnhPAyL._UL1440_.jpg|https://images-na.ssl-images-amazon.com/images/I/81GIqsBEkWL._UL1440_.jpg|https://images-na.ssl-images-amazon.com/images/I/91wWncDrN1L._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/41LtLKd8ILL._UL1207_.jpg
B07MBHC379,,vaidehi creation Women's Twill Tafeta Gown,vaidehi creation,no,54,Clothing & Accessories Clothing & Accessories,1,Women's Ethnic Gowns,,,Clothing & Accessories|Women|Ethnic Wear|Gowns,https://www.amazon.in/dp/B07MBHC379?psc=1,,,Currently unavailable. We don't know when or if this item will be back in stock.,https://images-na.ssl-images-amazon.com/images/I/51MrlteOA6L._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/51Jz0mt5AZL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/31GUJlNkGtL.jpg|https://images-na.ssl-images-amazon.com/images/I/21mqsUKQj-L.jpg
B0723434YZ,B014CPWUS8,Jockey Women's Cotton Lounge Pants,Jockey,no,55,Clothing & Accessories Clothing & Accessories,1,Women's Pyjamas & Lounge Pants,,,Clothing & Accessories|Women|Sleep & Lounge Wear|Pyjamas & Lounge Pants,https://www.amazon.in/dp/B0723434YZ?psc=1,Ibis Rose Melange,XX-Large,Currently unavailable. We don't know when or if this item will be back in stock.,https://images-na.ssl-images-amazon.com/images/I/817g712VZZL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81m2FmY7pIL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81z9x%2B2j5xL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/A1M6DL8p13L._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81nf7Hp2gIL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/A1Yo58VmtHL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71AEToPA6kL._UL1500_.jpg
B07XB2T1WF,B07TM3M5M5,ANNI DESIGNER Silk with Blouse Piece Saree,ANNI DESIGNER,no,56,Clothing & Accessories Clothing & Accessories,8,Women's Sarees,,,Clothing & Accessories|Women|Ethnic Wear|Sarees,https://www.amazon.in/dp/B07XB2T1WF?psc=1,MultiColor,,Currently unavailable. We don't know when or if this item will be back in stock.,https://images-na.ssl-images-amazon.com/images/I/91Wlj5FcrCL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/91p9Z3bAZzL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81gA34cJqLL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/91XpWbXYfkL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/914eK3iMzaL._UL1500_.jpg
B074WF24CX,B01BWT6IB2,Jockey Women's Cotton Shorties,Jockey,no,57,Clothing & Accessories Clothing & Accessories,1,Women's Sports Tights & Leggings,,,Clothing & Accessories|Women|Sportswear|Tights & Leggings,https://www.amazon.in/dp/B074WF24CX?psc=1,Classic Navy,Medium,Currently unavailable. We don't know when or if this item will be back in stock.,https://images-na.ssl-images-amazon.com/images/I/91292BqJ2JL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81Pe42zA8YL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61g1Sqi0I3L._UL1463_.jpg|https://images-na.ssl-images-amazon.com/images/I/61jKDMVeyDL._UL1463_.jpg|https://images-na.ssl-images-amazon.com/images/I/617ZRjTB%2B-L._UL1463_.jpg|https://images-na.ssl-images-amazon.com/images/I/716yf2Wvu1L._UL1463_.jpg
B083DC7NJB,,SkyBeauty Women's Full Coverage Non Padded Bra (Multicolour) - Pack of 6,SkyBeauty,no,64,Clothing & Accessories Clothing & Accessories,3,Women's Everyday Bras,,,Clothing & Accessories|Women|Lingerie|Bras|Everyday Bras,https://www.amazon.in/dp/B083DC7NJB?psc=1,,,Currently unavailable. We don't know when or if this item will be back in stock.,https://images-na.ssl-images-amazon.com/images/I/81sgfIMe1SL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71m13zKfCsL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/719C6RvU8jL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71-FVbmyVcL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71BDEmiM5QL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81J9pwQVIKL._UL1500_.jpg
B07JDFJTV4,B085D23Y2V,Lyra Women's Pants,Lyra,no,65,Clothing & Accessories Clothing & Accessories,1,Women's Trousers,,,Clothing & Accessories|Women|Western Wear|Trousers,https://www.amazon.in/dp/B07JDFJTV4?psc=1,Ink Blue,,Currently unavailable. We don't know when or if this item will be back in stock.,https://images-na.ssl-images-amazon.com/images/I/51Fty5BZaSL._UL1440_.jpg|https://images-na.ssl-images-amazon.com/images/I/71uu631QejL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/51SOE5lz7SL._UL1440_.jpg|https://images-na.ssl-images-amazon.com/images/I/51HrUIlizdL._UL1440_.jpg|https://images-na.ssl-images-amazon.com/images/I/51F%2BCuvOQTL._UL1440_.jpg|https://images-na.ssl-images-amazon.com/images/I/61Dz%2BlkuInL._UL1440_.jpg|https://images-na.ssl-images-amazon.com/images/I/71ABEblVcUL._UL1500_.jpg
B07RRBX5HK,,INDO ERA Women's Pure Cotton Straight Palazzo Kurta Set With Dupatta (Beige),INDO ERA,no,68,Clothing & Accessories Clothing & Accessories,2,Women's Salwar Suits,,,Clothing & Accessories|Women|Ethnic Wear|Salwar Suits,https://www.amazon.in/dp/B07RRBX5HK?psc=1,,,Currently unavailable. We don't know when or if this item will be back in stock.,https://images-na.ssl-images-amazon.com/images/I/61-MySHTmlL._UL1440_.jpg|https://images-na.ssl-images-amazon.com/images/I/61Dc90%2BQLXL._UL1440_.jpg|https://images-na.ssl-images-amazon.com/images/I/61QILdJ217L._UL1440_.jpg|https://images-na.ssl-images-amazon.com/images/I/61hQw1k3sWL._UL1440_.jpg|https://images-na.ssl-images-amazon.com/images/I/81kEyfzGygL._UL1440_.jpg|https://images-na.ssl-images-amazon.com/images/I/81AscwBCP1L._UL1440_.jpg|https://images-na.ssl-images-amazon.com/images/I/81l7eba0meL._UL1440_.jpg
B07HXCT3XQ,B010VV0M14,Jockey Women's Modal Camisole,Jockey,no,71,Clothing & Accessories Clothing & Accessories,1,Women's Camisoles & Tanks,,,Clothing & Accessories|Women|Lingerie|Camisoles & Tanks,https://www.amazon.in/dp/B07HXCT3XQ?psc=1,White,X-Large,Currently unavailable. We don't know when or if this item will be back in stock.,https://images-na.ssl-images-amazon.com/images/I/71pxXPBWNUL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61O2ReG9EYL._UL1464_.jpg|https://images-na.ssl-images-amazon.com/images/I/71QcR-66XRL._UL1480_.jpg|https://images-na.ssl-images-amazon.com/images/I/61xcbZek-8L._UL1464_.jpg|https://images-na.ssl-images-amazon.com/images/I/91oh9Ev9zJL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81g6nbEmGDL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/814%2BDvM5DWL._UL1500_.jpg
B07YYFZV6D,B07GBN6PLJ,Women's cotton Silk Saree With Blouse Piece (GoliVariation),PERFECTBLUE,no,74,Clothing & Accessories Clothing & Accessories,9,Women's Sarees,,,Clothing & Accessories|Women|Ethnic Wear|Sarees,https://www.amazon.in/dp/B07YYFZV6D?psc=1,Black,,Currently unavailable. We don't know when or if this item will be back in stock.,https://images-na.ssl-images-amazon.com/images/I/71G7hxJFxuL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71lZhwh1ogL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61nsHjnGgeL._UL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/61KJ15kc0EL._UL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/51Yxi82KCGL._UL1026_.jpg|https://images-na.ssl-images-amazon.com/images/I/61DW182TvGL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/814RJcfHr-L._UL1500_.jpg
B075ZQB92N,,Alan Jones Clothing Full Sleeve Solid Women's Sweatshirt,Alan Jones Clothing,no,75,Clothing & Accessories Clothing & Accessories,1,Women's Sweatshirts & Hoodies,,,Clothing & Accessories|Women|Western Wear|Winterwear|Sweatshirts & Hoodies,https://www.amazon.in/dp/B075ZQB92N?psc=1,,,Currently unavailable. We don't know when or if this item will be back in stock.,https://images-na.ssl-images-amazon.com/images/I/61sVFYEnv7L._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61%2BKx%2BEor2L._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/618gmIyvp8L._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61881E3d65L._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71D4jO3NojL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81NA%2BeWHJpL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61BwZ61JtbL._UL1280_.jpg
B07YYGTG46,B07HCSXRLH,ANNI DESIGNER Raniyal Georgette Saree with Blouse Piece (Black Gerog_Black_Free Size),ANNI DESIGNER,no,76,Clothing & Accessories Clothing & Accessories,10,Women's Sarees,1,Women's Earrings,Clothing & Accessories|Women|Ethnic Wear|Sarees,https://www.amazon.in/dp/B07YYGTG46?psc=1,,Free Size,Currently unavailable. We don't know when or if this item will be back in stock.,https://images-na.ssl-images-amazon.com/images/I/81oqIZwVNOL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/6145npqbg4L._UL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/81srTSaVT7L._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/6145npqbg4L._UL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/81srTSaVT7L._UL1500_.jpg
B07Z3BL7GG,,Tucute Top and Dhoti Style Bottom Night Suit/Nightdress for Women and Girls (Size: L/XL/XXL),TUCUTE,no,79,Clothing & Accessories Clothing & Accessories,1,Women's Nighties & Nightdresses,,,Clothing & Accessories|Women|Sleep & Lounge Wear|Nighties & Nightdresses,https://www.amazon.in/dp/B07Z3BL7GG?psc=1,,,Currently unavailable. We don't know when or if this item will be back in stock.,https://images-na.ssl-images-amazon.com/images/I/81whKUiFWeL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71V2SzNoszL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71oYyihoi8L._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81JN4P%2BXIBL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81DG7Bvj%2BeL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/51v4cE9k9xL._UL1263_.jpg
B07RCJQ59W,B07RCJPHF4,PERFECTBLUE Women's Blend Linen Saree with Unstitched Blouse Piece (DigitalPrintVariation),PERFECTBLUE,no,81,Clothing & Accessories Clothing & Accessories,11,Women's Sarees,,,Clothing & Accessories|Women|Ethnic Wear|Sarees,https://www.amazon.in/dp/B07RCJQ59W?psc=1,Firozi,,Currently unavailable. We don't know when or if this item will be back in stock.,https://images-na.ssl-images-amazon.com/images/I/81b5ER%2BAN-L._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/91LbVaic-pL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81x2gv8QgOL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/91HzPFL0FpL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81gBtoYdAlL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/91m-ioUH9EL._UL1500_.jpg
B07JP4W1WW,B07XY4QMG9,OOMPH! Womens Crepe Tank Top,OOMPH!,no,82,Clothing & Accessories Clothing & Accessories,1,Women's Blouses & Shirts,1,Women's Tops,"Clothing & Accessories|Women|Western Wear|Tops, T-Shirts & Shirts|Shirts",https://www.amazon.in/dp/B07JP4W1WW?psc=1,Charcoal Black,3XL,Currently unavailable. We don't know when or if this item will be back in stock.,https://images-na.ssl-images-amazon.com/images/I/81gnq%2BVERiL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81ajC3rPeyL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/818o6xEWX5L._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71YV1uJ6TFL._UL1500_.jpg
B07233H3BK,B0714FLKST,Jockey Women's Relaxed Pants,Jockey,no,83,Clothing & Accessories Clothing & Accessories,2,Women's Trousers,,,Clothing & Accessories|Women|Western Wear|Trousers,https://www.amazon.in/dp/B07233H3BK?psc=1,Rose Petal  & Grey,2XL,Currently unavailable. We don't know when or if this item will be back in stock.,https://images-na.ssl-images-amazon.com/images/I/71AT2tPYaXL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71SA-aMclTL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71d%2BuHWuLoL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81Hm%2BBr5NLL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/710T9aJMYAL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/A15vs8IAmRL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/A1HtVm0qwHL._UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71LL1m1vI0L._UL1500_.jpg
