item>>01 ASIN,item>>02 Parent ASIN,item>>03 Title,item>>04 Brand,item>>05 Seller,item>>06 Fulfilled by Amazon,item>>07 Sales Rank 1,item>>08 Sales Rank 1 Category,item>>09 Sales Rank 2,item>>10 Sales Rank 2 Category,item>>11 Sales Rank 3,item>>12 Sales Rank 3 Category,item>>13 Categories,item>>14 URL,item>>15 Color,item>>16 Size,item>>19 Price,item>>20 Availability,item>>21 Images
B0714GP1R3,B071LKL1FN,ONLY Damen Onlrain Reg Cry6060 Noos Skinny Jeans,ONLY,Amazon,no,96,Bekleidung,2,Damen-Jeanshosen,,,Bekleidung|Damen|Jeanshosen,https://www.amazon.de/dp/B0714GP1R3?psc=1,Schwarz (Black Denim),XS/L34,18.87,Auf Lager.,https://images-na.ssl-images-amazon.com/images/I/71bpVz-ompL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81Yy4-K%2BghL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71zanZ9e8bL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81LVm6Dw8VL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81meKbQ1LVL._AC_UL1500_.jpg
B01ELD7G9O,,"Puma Unisex Basic Sportsocken im Farbmix 9 Paar (39/42 - 9 Paar, Farbmix 1)",Puma / Puma,SPORTIGALL (Durchgestrichener Preis = Unverbindliche Preisempfehlung des Herstellers),no,113,Bekleidung,11,Sportsocken für Herren (Bekleidung,3,Sportsocken für Damen (Bekleidung,Bekleidung|Herren|Streetwear|Sportsocken,https://www.amazon.de/dp/B01ELD7G9O?psc=1,,,18.99,Auf Lager.,https://images-na.ssl-images-amazon.com/images/I/61pQpR3UVwL._AC_UL1100_.jpg
B07TTNQTBM,B07PRY88S6,adidas 9 Paar Performance No Show Sneaker Socken Unisex Kurzsocke,adidas,,no,103,Bekleidung,1,Streatwear Trainingsanzüge für Damen,,,Bekleidung|Damen|Streetwear|Trainingsanzüge,https://www.amazon.de/dp/B07TTNQTBM?psc=1,Black,37-39,,Erhältlich bei diesen Anbietern.,https://images-na.ssl-images-amazon.com/images/I/61bpeByC1bL._AC_UL1200_.jpg
B012NPQYP4,B07DNW2WGG,PUMA Unisex Quarters Socken Sportsocken 6er Pack,Puma,,no,105,Bekleidung,79,Herrenbekleidung,34,Damenbekleidung,Bekleidung|Herren,https://www.amazon.de/dp/B012NPQYP4?psc=1,White,6 Pack - 39/42,,Erhältlich bei diesen Anbietern.,https://images-na.ssl-images-amazon.com/images/I/81O3FEJmBmL._AC_SL1500_.jpg
B010QC4KQG,B010UUKO5K,ONLY Damen Skinny Jeanshose 15097919,ONLY,,no,111,Bekleidung,3,Damen-Jeanshosen,,,Bekleidung|Damen|Jeanshosen,https://www.amazon.de/dp/B010QC4KQG?psc=1,Blau (Medium Blue Denim),XS/34L,,Erhältlich bei diesen Anbietern.,https://images-na.ssl-images-amazon.com/images/I/81dxn698EwL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81O1Qcvwn5L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/A11h7FNxrQL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/814IntiNziL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81ZiH4yZ3mL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/819m-wkOirL._AC_UL1500_.jpg
B07599XJCW,B07TDDCRGB,Yvette Damen Sport BH Starker Halt Große Größe Gekreuzt Rücken Gepolstert Fitness Lauf Joggen Yoga Bra,Yvette,Yvette Sports,yes,115,Bekleidung,1,Sport-BHs für Damen,,,Bekleidung|Damen|Streetwear|Sportunterwäsche|Sport-BHs,https://www.amazon.de/dp/B07599XJCW?psc=1,Schwarz,70A,23.99,Nur noch 1 auf Lager,https://images-na.ssl-images-amazon.com/images/I/611MygsrndL._AC_UL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/61jMTcg0W5L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61sK9wUMa1L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71%2BRpFH3VFL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71T6bCwFdmL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/51A97oPBfDL._AC_.jpg
B07VFSYVC2,B082SPNSNC,ShinyStar Damen Sport Leggings Lange Blickdicht Kompressions Yoga Fitnesshose Sporthose mit Hohe Taille für Workout Gym Jogging,ShinyStar,Maikoo Fashion,yes,96,Bekleidung,3,Leggings für Damen,4,Sportswear-Strumpfhosen & Leggings für Damen,Bekleidung|Damen|Leggings,https://www.amazon.de/dp/B07VFSYVC2?psc=1,Grau,S,20.99,Auf Lager.,https://images-na.ssl-images-amazon.com/images/I/61AU1dZDGxL._AC_UL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/61mdYfVX6XL._AC_UL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/61TD4S9rc2L._AC_UL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/71wlZoVhJlL._AC_UL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/715v6iVd5gL._AC_UL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/61I7BsOPelL._AC_UL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/61ZVI4%2BWxnL._AC_UL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/61EPRf0wnxL._AC_UL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/51XPPEPkglL._AC_UL1200_.jpg
B07M8VV1T8,B07M8M282D,"Hilltop 3er Set Multifunktionstuch, Halstuch Herren, Schlauchschal Damen, Schlauchtuch, Bandana mit vernähten Saumkanten in den neuesten Designs",Hilltop,"Nuovo Line UG (haftungsbeschränkt) / Preise inkl. MwSt., Impressum und AGB finden Sie unter detaillierte Verkäuferinformationen",yes,120,Bekleidung,1,Halstücher für Damen,2,Halstücher für Herren,Bekleidung|Damen|Accessoires|Schals & Tücher|Halstücher,https://www.amazon.de/dp/B07M8VV1T8?psc=1,Black Grey Selection,,17.99,Nur noch 3 auf Lager,https://images-na.ssl-images-amazon.com/images/I/71GZuybIdsL._AC_UL1497_.jpg|https://images-na.ssl-images-amazon.com/images/I/71iPFpUmkTL._AC_UL1230_.jpg|https://images-na.ssl-images-amazon.com/images/I/71a36SQhaCL._AC_UL1230_.jpg|https://images-na.ssl-images-amazon.com/images/I/711HM1YXeTL._AC_UL1230_.jpg|https://images-na.ssl-images-amazon.com/images/I/61m1TNzMdqL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61iYJ4XfZyL._AC_UL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/51izVu3u0mL._AC_UL1200_.jpg
B07MC6CL55,B0784SPTJ4,Flatik Damen Netzoberfläche Sport Gym Yoga Laufen Fitness Leggings Hose,Flatik,Flatik,no,121,Bekleidung,4,Sportswear-Strumpfhosen & Leggings für Damen,,,Bekleidung|Damen|Streetwear|Strumpfhosen & Leggings,https://www.amazon.de/dp/B07MC6CL55?psc=1,Blau(x1173-62),XS,18.99,Auf Lager.,https://images-na.ssl-images-amazon.com/images/I/71jPBIyjSsL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/710UKpUdzaL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61SqtcDP64L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71GsICtLEuL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71rY%2BWODuDL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71MqnXAlwwL._AC_UL1500_.jpg
B0788R27VC,B01LXWNG8T,"Vincent Creation 10 Paar Süsse Damensocken & Mädchensocken Dot´s and Stripes, Baumwolle - gepunktet und geringelt",Vincent Creation,cottonprime,no,101,Bekleidung,8,Damen-Socken,,,Bekleidung|Damen|Socken & Strümpfe|Socken,https://www.amazon.de/dp/B0788R27VC?psc=1,Jeansblau,35-38,12.99,Auf Lager.,https://images-na.ssl-images-amazon.com/images/I/91239dk%2BmeL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81zC%2BSPGd7L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/91AFAAPJOjL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/91TLtQ5OGeL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/91At-PWZqLL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/91%2BDQXCNRVL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/91Y6Egj3IgL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/A1%2B8zg9JRAL._AC_UL1500_.jpg
