product>>brand,product>>category,product>>date,product>>description,product>>images,product>>name,product>>price,product>>sku,product>>url,product>>variations
BedBathAndBeyond,More|Pet Care|Cat,2018-11-21T00:06:53.286Z,"Make sure your feline friend is fed and hydrated in style with the Teeny Tiny Fish Cat Food Bowl and Teeny Tiny Fish Water Bowl. Both bowls feature tiny fish and a lively, bright color scheme, perfect for your cat and for your decoration.",https://b3h2.scene7.com/is/image/BedBathandBeyond/90085646717719p?scl=1,Teeny Tiny Fish Cat Food Bowl,8.99,3296866,https://www.bedbathandbeyond.com/store/product/teeny-tiny-fish-cat-food-bowl/3296866?categoryId=15703,
Petrageous,More|Pet Care|Cat,2018-11-21T00:06:55.307Z,Serve your pet in style with a Petrageous Kool Fishies Placemat under her food and water dish. This stylish and washable mat is made to stay put and has imagery of rows of multicolored fish that will look great as a decorative touch on your floor.,https://b3h2.scene7.com/is/image/BedBathandBeyond/63662944531911p?scl=1,Petrageous&reg; Kool Fishies Polycotton Tapestry Placemat in Blue/Green,7.99,1044531911,https://www.bedbathandbeyond.com/store/product/petrageous-reg-kool-fishies-polycotton-tapestry-placemat-in-blue-green/1044531911?categoryId=15703,BLUE/GREEN
Fiesta,More|Pet Care|Cat,2018-11-21T00:06:57.370Z,"The bold color and classic style of the Fiesta Cat Bowl and Treat Jar Collection makes it perfect serving meals or snacks to your favorite feline. Each piece is crafted of durable ceramic, and is decorated with cat-themed shapes and patterns.",,Fiesta&reg; Cat Bowl and Treat Jar Collection,15.99,803700,https://www.bedbathandbeyond.com/store/product/fiesta-reg-cat-bowl-and-treat-jar-collection/803700?categoryId=15703,
BedBathAndBeyond,More|Pet Care|Cat,2018-11-21T00:06:59.424Z,Feed your cat smarter with the Catit Design Senses Food Maze. The cat moves the food through the maze until it drops into the food tray stimulating physical and mental activity and it is adjustable so you can increase or decrease the difficulty.,"https://b3h2.scene7.com/is/image/BedBathandBeyond/29498941466919p__1,29498941466919p__2?scl=1|https://b3h2.scene7.com/is/image/BedBathandBeyond/29498941466919p?scl=1",Catit Design Senses Food Maze,14.99,1041466919,https://www.bedbathandbeyond.com/store/product/catit-design-senses-food-maze/1041466919?categoryId=15703,MULTI
BedBathAndBeyond,More|Pet Care|Cat Trees & Scratching Posts,2018-11-21T00:07:01.462Z,This Van Ness Scratch n Relax Cat scratcher is perfect for cat lovers. This helps protect your furniture and gives your cat the chance to scratch and lounge.,https://b3h2.scene7.com/is/image/BedBathandBeyond/90113646910233p?scl=1,Van Ness Scratch n Relax Cat Scratcher,15.99,1046910233,https://www.bedbathandbeyond.com/store/product/van-ness-scratch-n-relax-cat-scratcher/1046910233?categoryId=15703,NATURAL
BedBathAndBeyond,More|Pet Care|Cat,2018-11-21T00:07:03.776Z,"The Ore Originals Ceramic Etched Meow Bowl in Green contains your cat&#39;s favorite word after he or she is finished eating. The bowl is lead-free, BPA-free, non-toxic and has a low profile designed especially for cats.",https://b3h2.scene7.com/is/image/BedBathandBeyond/84451346573186p__1?scl=1|https://b3h2.scene7.com/is/image/BedBathandBeyond/84451346573186p?scl=1,Ore Originals Ceramic Etched Meow Bowl in Green,7.99,1046573186,https://www.bedbathandbeyond.com/store/product/ore-originals-ceramic-etched-meow-bowl-in-green/1046573186?categoryId=15703,GREEN
ICONIC PET,More|Pet Care|Pet Toys,2018-11-21T00:07:05.855Z,Keep your cat healthy both physically and mentally with the Tricky Tumble Interactive Cat Toy from Iconic Pet. This plastic ball features an attached tuft of feathers that swing as your cat bats it around. Fill it with treats for a fun incentive.,"https://b3h2.scene7.com/is/image/BedBathandBeyond/150292163634730p__1,150292163634730p__2,150292163634730p__4,150292163634730p__3?scl=1|https://b3h2.scene7.com/is/image/BedBathandBeyond/150292163634730p?scl=1",Iconic Pet Tricky Tumble Interactive Cat Toy in Green,16.99,5020791,https://www.bedbathandbeyond.com/store/product/iconic-pet-tricky-tumble-interactive-cat-toy-in-green/5020791?categoryId=15703,GREEN
BedBathAndBeyond,More|Pet Care|Cat,2018-11-21T00:07:08.030Z,"You and your cat can celebrate your favorite day every single day with the &quot;Every Day is Caturday&quot; Pet Mat from Fringe Studio. This mat will protect your floor from spills and messes, constructed out of durable silicone.",https://b3h2.scene7.com/is/image/BedBathandBeyond/160546964252124p?scl=1,Fringe Studio&trade; &quot;Every Day is Caturday&quot; Pet Mat,14.99,5042875,https://www.bedbathandbeyond.com/store/product/fringe-studio-trade-quot-every-day-is-caturday-quot-pet-mat/5042875?categoryId=15703,MINT
Petrageous,More|Pet Care|Cat,2018-11-21T00:07:10.321Z,"This PetRageous Designs Bubble Fish Pet Bowl is hand-crafted stoneware. With its shimmery finish and fishes with bubbles, your pet will feel like its under the sea. Bring this colorful and exciting bowl into your home for an efficient use.",https://b3h2.scene7.com/is/image/BedBathandBeyond/90084646717689p?scl=1|https://b3h2.scene7.com/is/image/BedBathandBeyond/90084746717696p?scl=1,PetRageous Designs&reg; Bubble Fish Pet Bowl in White,6.99,3296855,https://www.bedbathandbeyond.com/store/product/petrageous-designs-reg-bubble-fish-pet-bowl-in-white/3296855?categoryId=15703,
Julia Knight,More|Pet Care|Cat,2018-11-21T00:07:12.984Z,Hold your furry friend&#39;s favorite snacks in this chic Cat Treat Container from Julia Knight. Its textured aluminum body is sandcast by hand and features a lid with cat treat symbol. It adds irresistible charm to your kitchen countertop.,https://b3h2.scene7.com/is/image/BedBathandBeyond/145029063355895p?scl=1,Julia Knight&reg; Cat Treat Container in Toffee,116.99,5006648,https://www.bedbathandbeyond.com/store/product/julia-knight-reg-cat-treat-container-in-toffee/5006648?categoryId=15703,TOFFEE
BedBathAndBeyond,More|Pet Care|Cat,2018-11-21T00:07:15.056Z,Your pet will be extra cozy when relaxing in this K & H Self-Warming Kitty Sack. Features a super soft microfleece lining with metalized insulation that radiates warmth generated from your pets own body heat.,https://b3h2.scene7.com/is/image/BedBathandBeyond/59543044113285p?scl=1,K & H Self-Warming Kitty Sack,29.99,3268649,https://www.bedbathandbeyond.com/store/product/k-h-self-warming-kitty-sack/3268649?categoryId=15703,BROWN/BLACK
Park B. Smith,More|Pet Care|Pet Feeding Supplies,2018-11-21T00:07:17.061Z,Park B. Smith&reg; Meow Meal Area Rug is perfect for any cat lover. Meow meal rug helps dress your cat&#39;s space with playful style.,https://b3h2.scene7.com/is/image/BedBathandBeyond/18276718258846p?scl=1,Park B. Smith&reg; Meow Meal 19-Inch x 13-Inch Area Rug,5.99,1018258846,https://www.bedbathandbeyond.com/store/product/park-b-smith-reg-meow-meal-19-inch-x-13-inch-area-rug/1018258846?categoryId=15703,MULTI
NFL,More|Pet Care|Dog,2018-11-21T00:07:19.090Z,Show your team pride when you take your pup for a walk while he wears your favorite team&#39;s officially licensed NFL Pet Collar. Adjustable nylon collar sports your team&#39;s name and log. Snap lock plastic buckle closure with D-ring.,,NFL Pet Collar,7.99,220385,https://www.bedbathandbeyond.com/store/product/nfl-pet-collar/220385?categoryId=15703,
FroliCat,More|Pet Care|Cat,2018-11-21T00:07:21.119Z,"Keep your cat or dog intrigued with this laser light pet toy, while providing them fun exercise. It features an adjustable timer, variable speed settings, 16 exciting play and exercise combinations as well as 360 degree laser patterns.",https://b3h2.scene7.com/is/image/BedBathandBeyond/16132218018977p?scl=1,FroliCat&#153; Dart&#153; Automatic Rotating Laser Light Pet Toy,29.99,1018018977,https://www.bedbathandbeyond.com/store/product/frolicat-153-dart-153-automatic-rotating-laser-light-pet-toy/1018018977?categoryId=15703,WHITE
SmartCat,More|Pet Care|Cat,2018-11-21T00:07:23.122Z,"Cats need a scratching post to help them tone their muscles, to remove old nail sheaths from their claws and to help relieve stress. The Ultimate Scratching Post is 32"" H, which allows your kitty to get a full stretch.",https://b3h2.scene7.com/is/image/BedBathandBeyond/21642840284071p?scl=1,SmartCat Ultimate Scratching Post,41.99,1040284071,https://www.bedbathandbeyond.com/store/product/smartcat-ultimate-scratching-post/1040284071?categoryId=15703,WOOD
Pet Pals,More|Pet Care|Cat,2018-11-21T00:07:25.231Z,"Entertain your cat with the fun Pet Pals Cradle Shape Cat Scratching Board. Designed with 2 carved holes, suspended teasers, a unique shape and tough sisal for vigorous scratching, the scratching board offers mental stimulation and engaging play.",https://b3h2.scene7.com/is/image/BedBathandBeyond/53004143480357p?scl=1,Pet Pals Cradle Shape Cat Scratching Board with Sisal in Yellow,30.76,1043480357,https://www.bedbathandbeyond.com/store/product/pet-pals-cradle-shape-cat-scratching-board-with-sisal-in-yellow/1043480357?categoryId=15703,YELLOW
BedBathAndBeyond,More|Pet Care|Cat,2018-11-21T00:07:27.337Z,Feed your cat with this 4.75-Inch In the Tank Cat Fish Pet Bowl. This cat-shaped bowl keeps your pet well fed and is dishwasher-safe for easy cleaning. Its cat-face design features goggles and goldfish for a whimsical feline look sure to make you smile.,https://b3h2.scene7.com/is/image/BedBathandBeyond/65556444703943p?scl=1,4.75-Inch In the Tank Cat Fish Pet Bowl,7.99,1044703943,https://www.bedbathandbeyond.com/store/product/4-75-inch-in-the-tank-cat-fish-pet-bowl/1044703943?categoryId=15703,MULTI
NBA,More|Pet Care|Dog,2018-11-21T00:07:29.442Z,"Show some team pride when walking your dog with this official NBA Collar. Features a vibrant woven team name, logo and logotype ribbon sewn onto a contrast nylon web and is durably made from heavy duty nylon webbing with silver hardware.",,NBA Pet Collar,9.99,225109,https://www.bedbathandbeyond.com/store/product/nba-pet-collar/225109?categoryId=15703,
BedBathAndBeyond,More|Pet Care|Dog,2018-11-21T00:07:31.577Z,Show your love for your pet and your love for your favorite team with the NFL Pet Pillow Bed Collection. These beds have your favorite team&#39;s colors and embroidered logo on top with embroidered football laces on the football-shaped cozy center cushion.,,NFL Pet Pillow Bed Collection,28.99,232348,https://www.bedbathandbeyond.com/store/product/nfl-pet-pillow-bed-collection/232348?categoryId=15703,
MLB,More|Pet Care|Dog,2018-11-21T00:07:33.735Z,"Give man&#39;s best friend a place of his own to watch the game with the plush MLB Pillow Pet Bed. Featuring team name and logo embroidery with stitched baseball design at the center, it has contrast trim and is stuffed with interior fleece for warmth.",https://b3h2.scene7.com/is/image/BedBathandBeyond/130046062107310p?scl=1|https://b3h2.scene7.com/is/image/BedBathandBeyond/141536962107389p?scl=1|https://b3h2.scene7.com/is/image/BedBathandBeyond/130045962107327p?scl=1|https://b3h2.scene7.com/is/image/BedBathandBeyond/130045762107341p?scl=1|https://b3h2.scene7.com/is/image/BedBathandBeyond/130045662107358p?scl=1|https://b3h2.scene7.com/is/image/BedBathandBeyond/130045862107334p?scl=1,MLB Pillow Pet Bed Collection,29.99,238519,https://www.bedbathandbeyond.com/store/product/mlb-pillow-pet-bed-collection/238519?categoryId=15703,TEAM COLOR
BedBathAndBeyond,More|Pet Care|Cat|Kitty Kasas Bedroom,2018-11-21T00:07:35.910Z,Give your feline friend his or her very own furniture for sharpening claws and stretching with the Kitty Kasas Gym. Sturdy construction features a sisal-wrapped pole that offers durability with a simple to clean design for functionality.,https://b3h2.scene7.com/is/image/BedBathandBeyond/160588763906400p__1?scl=1|https://b3h2.scene7.com/is/image/BedBathandBeyond/160589063906370p?scl=1|https://b3h2.scene7.com/is/image/BedBathandBeyond/160588963906387p?scl=1|https://b3h2.scene7.com/is/image/BedBathandBeyond/160588763906400p?scl=1|https://b3h2.scene7.com/is/image/BedBathandBeyond/160588863906394p?scl=1,Kitty Kasas Bedroom,49.99,5032170,https://www.bedbathandbeyond.com/store/product/kitty-kasa-gym/5032170?categoryId=15703,RED|PINK|BLUE|ORANGE
