item>>brand,item>>categories,item>>description,item>>image,item>>instock,item>>price,item>>rating,item>>seller,item>>sku,item>>title,item>>total_reviews,item>>url
STIVADO,"Сладости и снеки,Печенье, вафли",,https://s98540.cdn.ngenix.net/i/400x400-fit/xdelivery/files/e1/xd/b16fa7016b6b7c8b1782fxd23a2f.jpg,yes,85.99,4.91,Перекрёсток,279652,"Печенье Stivado Я играю сахарное, 280г",6,https://www.perekrestok.ru/cat/399/p/pecene-stivado-a-igrau-saharnoe-280g-4087481
Kellogg's,"Сладости и снеки,Печенье, вафли",,https://s98540.cdn.ngenix.net/i/400x400-fit/xdelivery/files/a6/8b/d2fd3e893cb522e212e1ed7177c6.png,yes,79.9,4.79,Перекрёсток,66935,"Печенье Kellogg's Unicorn клубника клубничное сахарное в глазури, 105г",25,https://www.perekrestok.ru/cat/399/p/pecene-kelloggs-unicorn-klubnika-klubnicnoe-saharnoe-v-glazuri-105g-4069074
Юбилейное,"Сладости и снеки,Печенье, вафли",,https://s98540.cdn.ngenix.net/i/400x400-fit/xdelivery/files/f7/de/15659848eea58e478357651a13e6.jpg,yes,59.99,4.91,Перекрёсток,42503,"Печенье Юбилейное с черникой, 112г",19,https://www.perekrestok.ru/cat/399/p/pecene-ubilejnoe-s-cernikoj-112g-3662392
Юбилейное,"Сладости и снеки,Печенье, вафли",,https://s98540.cdn.ngenix.net/i/400x400-fit/xdelivery/files/a0/96/fa9dd244e67bf44d11c4d62d8f84.jpg,yes,61.99,4.92,Перекрёсток,42276,"Печенье Юбилейное витаминизированное с глазурью, 116г",27,https://www.perekrestok.ru/cat/399/p/pecene-ubilejnoe-vitaminizirovannoe-s-glazuru-116g-3471168
Коровка,"Сладости и снеки,Печенье, вафли",,https://s98540.cdn.ngenix.net/i/400x400-fit/xdelivery/files/fb/f5/9b097d5d852b6f732b4e117a7c26.jpg,yes,144.99,4.82,Перекрёсток,46501,"Печенье Коровка Топлёное молоко сахарное, 375г",8,https://www.perekrestok.ru/cat/399/p/pecene-korovka-toplenoe-moloko-saharnoe-375g-3334187
STIVADO,"Сладости и снеки,Печенье, вафли",,https://s98540.cdn.ngenix.net/i/400x400-fit/xdelivery/files/34/21/fce694efe9807a9284cfexdf4c42.jpg,yes,89.99,4.78,Перекрёсток,276071,"Печенье Stivado Сладкие гномики сахарное, 280г",5,https://www.perekrestok.ru/cat/399/p/pecene-stivado-sladkie-gnomiki-saharnoe-280g-4132925
,"Сладости и снеки,Печенье, вафли",,https://s98540.cdn.ngenix.net/i/400x400-fit/xdelivery/files/c5/f8/33eb524bff7fa1f71687bd9646f1.jpg,yes,149.99,4.69,Перекрёсток,59292,"Печенье Земляничное сахарное, кг",6,https://www.perekrestok.ru/cat/399/p/pecene-zemlanicnoe-saharnoe-kg-3654098
Юбилейное,"Сладости и снеки,Печенье, вафли",,https://s98540.cdn.ngenix.net/i/400x400-fit/xdelivery/files/81/f3/29d8a17caa559f537bc8d517854c.jpg,yes,59.99,4.92,Перекрёсток,42944,"Печенье Юбилейное витаминизированное с кусочками клюквы, 112г",29,https://www.perekrestok.ru/cat/399/p/pecene-ubilejnoe-vitaminizirovannoe-s-kusockami-klukvy-112g-3603068
Ванюшкины Сладости,"Сладости и снеки,Печенье, вафли",,https://s98540.cdn.ngenix.net/i/400x400-fit/xdelivery/files/64/1e/8d13302d6d98c005644b3b713d47.jpg,yes,144.99,4.84,Перекрёсток,59383,"Печенье Ванюшкины Сладости Рукавички для сестрички сахарное, 300г",4,https://www.perekrestok.ru/cat/399/p/pecene-vanuskiny-sladosti-rukavicki-dla-sestricki-saharnoe-300g-3655087
Kellogg's,"Сладости и снеки,Печенье, вафли",,https://s98540.cdn.ngenix.net/i/400x400-fit/xdelivery/files/c8/91/b8cd01b075b53ecc8183b1948d49.png,yes,49.9,4.85,Перекрёсток,269531,"Печенье Kellogg's Dinosaurs сахарное мини в молочной глазури, 50г",12,https://www.perekrestok.ru/cat/399/p/pecene-kelloggs-dinosaurs-saharnoe-mini-v-molocnoj-glazuri-50g-4120584
Юбилейное,"Сладости и снеки,Печенье, вафли",,https://s98540.cdn.ngenix.net/i/400x400-fit/xdelivery/files/c3/f4/415daa21004a7a3d081397e769cb.jpg,yes,159.99,4.91,Перекрёсток,309426,"Печенье Юбилейное Традиционное витаминизированное, 403г",2,https://www.perekrestok.ru/cat/399/p/pecene-ubilejnoe-tradicionnoe-vitaminizirovannoe-403g-4193898
Ванюшкины Сладости,"Сладости и снеки,Печенье, вафли",,https://s98540.cdn.ngenix.net/i/400x400-fit/xdelivery/files/92/2a/d03d794826f03f454b2a08a73eda.jpg,yes,179.99,4.64,Перекрёсток,59384,"Печенье Ванюшкины Сладости Брендовое сахарное, 270г",1,https://www.perekrestok.ru/cat/399/p/pecene-vanuskiny-sladosti-brendovoe-saharnoe-270g-3655088
Ванюшкины Сладости,"Сладости и снеки,Печенье, вафли",,https://s98540.cdn.ngenix.net/i/400x400-fit/xdelivery/files/2b/98/7f7507e3144cc7d487417eb5b5f1.jpg,yes,329,4.75,Перекрёсток,265758,"Печенье Ванюшкины Сладости Заварушечка сахарное, кг",4,https://www.perekrestok.ru/cat/399/p/pecene-vanuskiny-sladosti-zavarusecka-saharnoe-kg-4099957
,"Сладости и снеки,Печенье, вафли",,https://s98540.cdn.ngenix.net/i/400x400-fit/xdelivery/files/e2/bf/fed5b35f6557dcc73c9d4e186ee7.jpg,yes,639.99,4.64,Перекрёсток,274671,"Печенье Falcone сахарное с фисташкой и цедрой лимона, 180г",0,https://www.perekrestok.ru/cat/399/p/pecene-falcone-saharnoe-s-fistaskoj-i-cedroj-limona-180g-4062881
,"Сладости и снеки,Печенье, вафли",,https://s98540.cdn.ngenix.net/i/400x400-fit/xdelivery/files/xd/68/a2644f2034a7eb7e21bb38bd4aa1.jpg,yes,589.99,4.61,Перекрёсток,274103,"Печенье Falcone сахарное с миндалем, 200г",2,https://www.perekrestok.ru/cat/399/p/pecene-falcone-saharnoe-s-mindalem-200g-4062888
Яшкино,"Сладости и снеки,Печенье, вафли",,https://s98540.cdn.ngenix.net/i/400x400-fit/xdelivery/files/dd/3c/7664da8f62b18bdbe94ffe7e24e3.jpg,yes,52.9,4.91,Перекрёсток,45365,"Крекер Яшкино Французский хрустящий с кунжутом, 185г",99,https://www.perekrestok.ru/cat/399/p/kreker-askino-francuzskij-hrustasij-s-kunzutom-185g-3222305
Любятово,"Сладости и снеки,Печенье, вафли",,https://s98540.cdn.ngenix.net/i/400x400-fit/xdelivery/files/1f/71/e12530865840552e16116f167a0b.png,yes,49.9,4.86,Перекрёсток,276487,"Крекер Любятово Янтарный с сыром, 204г",20,https://www.perekrestok.ru/cat/399/p/kreker-lubatovo-antarnyj-s-syrom-204g-4122153
Пр!ст,"От Перекрёстка,Пр!ст",,https://s98540.cdn.ngenix.net/i/400x400-fit/xdelivery/files/4c/39/0c35bcca3f0b6ee817c029eb112a.jpg,yes,34.9,4.85,Перекрёсток,63389,"Крекер Пр!ст Рыбки, 200г",38,https://www.perekrestok.ru/cat/361/p/kreker-pr-st-rybki-200g-4050547
Любятово,"Сладости и снеки,Печенье, вафли",,https://s98540.cdn.ngenix.net/i/400x400-fit/xdelivery/files/fc/52/b322fb4e4dbc9f514e75657b3245.jpg,yes,67.99,4.87,Перекрёсток,46246,"Галеты Любятово Классические, 185г",47,https://www.perekrestok.ru/cat/399/p/galety-lubatovo-klassiceskie-185g-2149718
