product>>brand,product>>categories,product>>color,product>>description,product>>gender,product>>image,product>>instock,product>>price,product>>rating,product>>seller,product>>sku,product>>title,product>>total_reviews,product>>url
Zolla,"Одежда, Женщинам, Блузы и рубашки",Голубой,"Классическая женская рубашка с узором в тонкую голубую полоску - отличный вариант для комфортной работы и приятного отдыха. Прямой силуэт, отложной воротник, длинный рукав с манжетой на пуговице, накладной нагрудный карман с металлическим пином-нашивкой, закруглённая нижняя кромка, короткие боковые разрезы, застёжка на пуговицы. Размер на модели: XS. Рост модели: 175 см. ОГ-ОТ-ОБ: 86-58-90 см.",Женский,https://cdn1.ozone.ru/s3/multimedia-u/6234916446.jpg,yes,1394,5.0,Zolla,468937127,Рубашка Zolla,5,https://www.ozon.ru/product/rubashka-zolla-468937127/
Zolla,"Одежда, Женщинам, Блузы и рубашки",Светло-серый,,Женский,https://cdn1.ozone.ru/s3/multimedia-t/6049139669.jpg,yes,599,4.8,Zolla,226133133,Блузка Zolla,18,https://www.ozon.ru/product/bluzka-zolla-226133133/
Zolla,"Одежда, Женщинам, Блузы и рубашки",Бежевый,"Стильная блузка свободного силуэта из гладкого атласа акцентирована леопардовым принтом в сдержанной гамме. Отложной воротник, длинный спущенный рукав с манжетой на пуговице. Размер на модели: XS. Рост модели: 176 см. ОГ-ОТ-ОБ: 84-61-89 см.",Женский,https://cdn1.ozone.ru/s3/multimedia-1/6234929701.jpg,yes,1473,4.5,Zolla,468941559,Рубашка Zolla,2,https://www.ozon.ru/product/rubashka-zolla-468941559/
Zolla,"Одежда, Женщинам, Блузы и рубашки",Светло-зеленый,"Оригинальная блузка из гладкого жатого материала с принтом акцентирована черным поясом, подчеркивающим талию. Полуприлегающий силуэт, эластичный материал, круглый вырез, длинный рукав на резинке. Без застёжки. Размер на модели: XS. Рост модели: 172 см. ОГ-ОТ-ОБ: 81-57-86 см.",Женский,https://cdn1.ozone.ru/s3/multimedia-4/6234955192.jpg,yes,1032,4.5,Zolla,468953167,Рубашка Zolla,2,https://www.ozon.ru/product/rubashka-zolla-468953167/
Zolla,"Одежда, Женщинам, Одежда больших размеров",Слоновая кость,Удлиненная блузка из вискозы украшена ярким тропическим принтом. Талия акцентирована съемным поясом. Без карманов. Размер на модели: S. Рост модели: 175 см. ОГ-ОТ-ОБ: 86-62-93 см.,Женский,https://cdn1.ozone.ru/s3/multimedia-n/6066142751.jpg,yes,1277,5.0,Zolla,248961833,Блузка Zolla,3,https://www.ozon.ru/product/bluzka-zolla-248961833/
Zolla,"Одежда, Женщинам, Блузы и рубашки",Темно-синий,"Женская блузка с фактурным цветочным узором с блёстками на передней части прекрасно подойдёт к романтичным и женственным повседневным аутфитам. Силуэт ""баллон"", круглый вырез, спущенный короткий рукав, эластичная утягивающая резинка на нижней кромке. Размер на модели: S. Рост модели: 176 см. ОГ-ОТ-ОБ: 84-61-89 см.",Женский,https://cdn1.ozone.ru/s3/multimedia-6/6286557342.jpg,yes,1399,5.0,Zolla,543934241,Блузка Zolla,1,https://www.ozon.ru/product/bluzka-zolla-543934241/
Zolla,"Одежда, Женщинам, Блузы и рубашки",Слоновая кость,"Блузка без рукавов выполнена из легкого, красиво струящегося материала нежного оттенка айвери. Прямой силуэт, V-образный вырез, планка на пуговицах, скругленный нижний край. Размер на модели: XS. Рост модели: 175 см. ОГ-ОТ-ОБ: 86-62-93 см.",Женский,https://cdn1.ozone.ru/s3/multimedia-n/6066143255.jpg,yes,746,4.5,Zolla,244690143,Блузка Zolla,17,https://www.ozon.ru/product/bluzka-zolla-244690143/
Zolla,"Одежда, Женщинам, Блузы и рубашки",Слоновая кость,Простой крой этой рубашки из нежной вискозы дополнен оригинальным принтом с изображением фауны тропического острова. Модель прямого силуэта с отложным воротником и рукавами 3/4 в сочетании с базовыми вещами с легкостью дополнит ваши стильные повседневные образы. Размер на модели: XS. Рост модели: 175 см. ОГ-ОТ-ОБ: 83-60-89 см.,Женский,https://cdn1.ozone.ru/s3/multimedia-5/6063910265.jpg,yes,988,4.9,Zolla,264850631,Рубашка Zolla,20,https://www.ozon.ru/product/rubashka-zolla-264850631/
Zolla,"Одежда, Женщинам, Блузы и рубашки",Слоновая кость,"Белый женский топ из эластичного ажурного кружева с полупрозрачной кокеткой станет очаровательным украшением вашего гардероба. Полуприлегающий силуэт, непрозрачный подклад, круглый вырез, короткий рукав ""крылышко"", застёжка на пуговицу у ворота сзади. Размер на модели: XS. Рост модели: 176 см. ОГ-ОТ-ОБ: 83-60-88 см.",Женский,https://cdn1.ozone.ru/s3/multimedia-3/6247652571.jpg,yes,1223,0.0,Zolla,484818913,Блузка Zolla,0,https://www.ozon.ru/product/bluzka-zolla-484818913/
Zolla,"Одежда, Женщинам, Блузы и рубашки",Голубой,,Женский,https://cdn1.ozone.ru/s3/multimedia-0/6045508464.jpg,yes,953,4.8,Zolla,234150854,Блузка Zolla,5,https://www.ozon.ru/product/bluzka-zolla-234150854/
