item>>01 ASIN,item>>02 Parent ASIN,item>>03 Title,item>>04 Brand,item>>05 Seller,item>>06 Fulfilled by Amazon,item>>07 Sales Rank 1,item>>08 Sales Rank 1 Category,item>>09 Sales Rank 2,item>>10 Sales Rank 2 Category,item>>11 Sales Rank 3,item>>12 Sales Rank 3 Category,item>>13 Categories,item>>14 URL,item>>15 Color,item>>16 Size,item>>17 Style,item>>19 Price,item>>20 Availability,item>>21 Images
B00KRYM7B4,B00KRYL71U,Hanes Women's Nano T-Shirt,Hanes,Garment Avenue,no,29,"Clothing, Shoes & Jewelry",11,Women's Shops,1,Women's T-Shirts,"Clothing, Shoes & Jewelry|Women|Clothing|Tops, Tees & Blouses|T-Shirts",https://www.amazon.com/dp/B00KRYM7B4?psc=1,Deep Red,Small,,6.63,In Stock.,https://images-na.ssl-images-amazon.com/images/I/81yQ2Dvr-rL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71BzEC9RaXL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81k0i5tY8JL._AC_UL1500_.jpg
B07LGXL4S4,B0771RCW6Z,Saucony Women's 8-Pair Performance No-Show Sport Socks,Saucony,Amazon,no,30,"Clothing, Shoes & Jewelry",12,Women's Shops,1,Women's Athletic Socks,"Clothing, Shoes & Jewelry|Women|Clothing|Active|Athletic Socks",https://www.amazon.com/dp/B07LGXL4S4?psc=1,Assorted Light (8 Pack),Shoe Size: 5-10,,14.61,In Stock.,https://images-na.ssl-images-amazon.com/images/I/91daOsBKPrL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/710r5fgoCrL._AC_UL1200_.jpg
B01MT7SOKG,B07YVW2RMK,Warner's Women's Easy Does It No Bulge Wire-Free Bra,Warner's,Amazon,no,32,"Clothing, Shoes & Jewelry",13,Women's Shops,1,Everyday Bras,"Clothing, Shoes & Jewelry|Women|Clothing|Lingerie, Sleep & Lounge|Lingerie|Bras|Everyday Bras",https://www.amazon.com/dp/B01MT7SOKG?psc=1,Butterscotch,X-Small,,12.99,In Stock.,https://images-na.ssl-images-amazon.com/images/I/81x0XuG1ZEL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/719HP%2B%2BghvL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/719HP%2B%2BghvL._AC_UL1500_.jpg
B07CMXWK3V,B073W7YY1T,Opromo Cotton Bleach Friendly Banded Adjustable Scrub Cap Sweatband Bouffant Hat,Opromo,,no,33,"Clothing, Shoes & Jewelry",14,Women's Shops,1,Women's Skullies & Beanies,"Clothing, Shoes & Jewelry|Women|Accessories|Hats & Caps|Skullies & Beanies",https://www.amazon.com/dp/B07CMXWK3V?psc=1,Assorted 10,,,,Available from these sellers.,https://images-na.ssl-images-amazon.com/images/I/71Y1vkYzBuL._AC_UL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/61VPtC5dCcL._AC_UL1001_.jpg|https://images-na.ssl-images-amazon.com/images/I/61VPtC5dCcL._AC_UL1001_.jpg|https://images-na.ssl-images-amazon.com/images/I/71cES13jVvL._AC_UL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/61shFNykI4L._AC_UL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/7126Mu4t-uL._AC_UL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/7126Mu4t-uL._AC_UL1000_.jpg
B00ZUNKEHG,B00ZUNEZ7Q,Hanes Women's Midrise Cinch-Bottom Fleece Sweatpant,Hanes,VeeTrends,no,29,Sports & Outdoors,15,Outdoor Recreation (Sports & Outdoors,15,Women's Shops,"Clothing, Shoes & Jewelry|Women|Clothing|Active|Active Pants",https://www.amazon.com/dp/B00ZUNKEHG?psc=1,Ebony,Small,,11.95,In stock.,https://images-na.ssl-images-amazon.com/images/I/81gQcq%2BRDwL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81KkYGTdLUL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/41XM0trqEpL._AC_.jpg
B07V9LPB5K,B07G554VLP,Colorfulkoala Women's High Waisted Yoga Pants 7/8 Length Leggings with Pockets,Colorfulkoala,Colorfulkoala Sports,yes,32,Sports & Outdoors,2,Women's Sports Tights & Leggings,2,Women's Sports Pants,Sports & Outdoors|Sports & Fitness|Exercise & Fitness|Yoga|Clothing|Women|Leggings,https://www.amazon.com/dp/B07V9LPB5K?psc=1,Army Green Camo,X-Small,,29,In Stock.,https://images-na.ssl-images-amazon.com/images/I/71AMmtHqNfL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71gb%2By6hqZL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71ONoHV9L4L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71ckeiXq2LL._AC_UL1500_.jpg
B077YS8TTN,B07MC5XNSP,SATINA High Waisted Leggings - 25 Colors - Super Soft Full Length Opaque Slim,SATINA,SATINA CLOTHING,yes,43,"Clothing, Shoes & Jewelry",1,Women's Leggings,1,Women's Plus Leggings,"Clothing, Shoes & Jewelry|Women|Clothing|Leggings",https://www.amazon.com/dp/B077YS8TTN?psc=1,Capri Black,One Size,,14.99,In Stock.,https://images-na.ssl-images-amazon.com/images/I/41oA4cmBjxL._AC_UL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/71hiiq-mF8L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71mVICJCD8L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71rDzVM55PL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81ArTUx840L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81P-mXJtysL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/51HLCCMqMzL._AC_UL1000_.jpg
B00HUS6XNI,B07MQPHT7F,Fruit of the Loom Women's Tag Free Cotton Brief Panties (Regular & Plus Size),Fruit of the Loom,Amazon,no,45,"Clothing, Shoes & Jewelry",19,Women's Shops,1,Women's Briefs,"Clothing, Shoes & Jewelry|Women|Clothing|Lingerie, Sleep & Lounge|Lingerie|Panties|Briefs",https://www.amazon.com/dp/B00HUS6XNI?psc=1,Brief - 6 Pack - Assorted Colors,5,,8.98,"In stock on April 17, 2020. Order it now.",https://images-na.ssl-images-amazon.com/images/I/81XCghidQJL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81Womdm%2B8xL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61ipCdrkxsL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71Vpse21B7L._AC_UL1500_.jpg
B07752LYFW,B0775CSPQS,Amazon Essentials Women's 2-Pack Classic-Fit Short-Sleeve V-Neck T-Shirt,Amazon Essentials,Amazon,no,47,"Clothing, Shoes & Jewelry",20,Women's Shops,2,Women's T-Shirts,"Clothing, Shoes & Jewelry|Women|Clothing|Tops, Tees & Blouses|T-Shirts",https://www.amazon.com/dp/B07752LYFW?psc=1,Aqua/White,X-Small,,16,In Stock.,https://images-na.ssl-images-amazon.com/images/I/71e9IDoNK3L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81ibqgPTFSL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/815W-pEzAFL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71sHYy1rgUL._AC_UL1500_.jpg
B0101BQV2I,B016OM9JU4,YIANNA Women's Underbust Latex Sport Girdle Waist Trainer Corsets Hourglass Body Shaper,YIANNA,YIANNA,yes,49,"Clothing, Shoes & Jewelry",1,Women's Petite Shapewear Waist Cinchers,1,Women's Shapewear Waist Cinchers,"Clothing, Shoes & Jewelry|Women|Clothing|Lingerie, Sleep & Lounge|Lingerie|Shapewear|Waist Cinchers",https://www.amazon.com/dp/B0101BQV2I?psc=1,Black,X-Small,,22.99,"In stock on April 12, 2020. Order it now.",https://images-na.ssl-images-amazon.com/images/I/71aGyDsK7EL._AC_UL1452_.jpg|https://images-na.ssl-images-amazon.com/images/I/61PZ0OtyPEL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81qXnjXiUOL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71Mmuw-gHtL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71LeWFEUE6L._AC_UL1450_.jpg|https://images-na.ssl-images-amazon.com/images/I/61spvfkVdDL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71-p2iKZAxL._AC_UL1039_.jpg
B0169P8LA0,B0169P8D8K,Hanes Women’s EcoSmart Sweatpant – Regular and Petite Lengths,Hanes,Amazon,no,36,Sports & Outdoors,18,Outdoor Recreation (Sports & Outdoors,1,Women's Petite Athletic Sweatpants,"Clothing, Shoes & Jewelry|Women|Petite|Active|Active Pants|Sweatpants",https://www.amazon.com/dp/B0169P8LA0?psc=1,Deep Dive Heather,Small,,11.18,In Stock.,https://images-na.ssl-images-amazon.com/images/I/81Uu3nptSfL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81YEeFiIAkL._AC_UL1500_.jpg
