item>>01 ASIN,item>>02 Parent ASIN,item>>03 Title,item>>04 Brand,item>>05 Seller,item>>06 Fulfilled by Amazon,item>>07 Sales Rank 1,item>>08 Sales Rank 1 Category,item>>09 Sales Rank 2,item>>10 Sales Rank 2 Category,item>>11 Sales Rank 3,item>>12 Sales Rank 3 Category,item>>13 Categories,item>>14 URL,item>>15 Color,item>>16 Size,item>>19 Price,item>>20 Availability,item>>21 Images
B01LZKBXG8,B082G3QBNJ,"Marca Amazon - Iris & Lilly Braguita Mujer, Pack de 5",Iris & Lilly,Amazon,no,110,Ropa,2,Bikinis y Braguitas para mujer,4,Culottes y Shorts para mujer,Ropa|Mujer|Lencería y ropa interior|Braguitas y culottes|Bikinis y Braguitas,https://www.amazon.es/dp/B01LZKBXG8?psc=1,Blanco,36,14.99,En stock.,https://images-na.ssl-images-amazon.com/images/I/71Tpc1X7AnL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/91MjaHmYbzL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/915a6SuoeJL._AC_UL1500_.jpg
B07XNYSXL3,B07TV4RLS6,INNERSY Bragas Mujer Algodón Hipster Cómodo Transpirables Briefs Pack de 6,INNERSY,Innersy Life,yes,115,Ropa,5,Culottes y Shorts para mujer,,,Ropa|Mujer|Lencería y ropa interior|Braguitas y culottes|Culottes y Shorts,https://www.amazon.es/dp/B07XNYSXL3?psc=1,2azul Oscuro+2verde Oscuro+2gris,XS,18.99,En stock.,https://images-na.ssl-images-amazon.com/images/I/71Z3inZVa1L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71U2MSAVWWL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71mH1Y-2U9L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61Xo3TSZgiL._AC_UL1001_.jpg|https://images-na.ssl-images-amazon.com/images/I/61bqEhLhlrL._AC_UL1001_.jpg|https://images-na.ssl-images-amazon.com/images/I/61sVLQtjhRL._AC_UL1001_.jpg|https://images-na.ssl-images-amazon.com/images/I/61ujGlG3rQL._AC_UL1001_.jpg
B07V3JTH88,B07HDZ2QZJ,"Caudblor 12 Pares Show calcetines de corte bajo de algodón para hombres y mujeres, blanco/gris/negro",Caudblor,FENGLAN-ES,yes,116,Ropa,3,Calcetines cortos para hombre,5,Calcetines para mujer,Ropa|Hombre|Calcetines|Calcetines cortos,https://www.amazon.es/dp/B07V3JTH88?psc=1,6*short+6*long,Hombre,13.99,En stock.,https://images-na.ssl-images-amazon.com/images/I/61RfoeHt%2BBL._AC_UL1500_.jpg
B07DCRMWXT,B07S81P24G,CRZ YOGA Mujer Naked Feeling Deportivos 7/8 Leggings Yoga Fitness Pantalon de Cintura Alta con Bolsillos-63cm,CRZ YOGA,Jimu Fashion,yes,117,Ropa,3,Leggings y medias deportivas para mujer,,,Ropa|Mujer|Ropa deportiva|Leggings y medias deportivas,https://www.amazon.es/dp/B07DCRMWXT?psc=1,Negro-r009,40,18,En stock.,https://images-na.ssl-images-amazon.com/images/I/61GX6088cpL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/612U7%2BH8D6L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61N4lKkNuNL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/717NCbn9bBL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71LB2anGk6L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61kya63mqLL._AC_UL1500_.jpg
B06XJ4B8GV,B071V2DDXH,YIANNA Sujetador Deportivo Mujer con Relleno Extraíble Top Sujetadores Deportivos Yoga sin Costuras,YIANNA,YIANNA Direct,yes,128,Ropa,3,Sujetadores deportivos para mujer,,,Ropa|Mujer|Ropa deportiva|Ropa interior deportiva|Sujetadores deportivos,https://www.amazon.es/dp/B06XJ4B8GV?psc=1,Blanco,S,17.99,En stock.,https://images-na.ssl-images-amazon.com/images/I/612vtEzTELL._AC_UL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/61-rYO7sEZL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61dYW-jJ5LL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/715DLp7bTOL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81DVWfcH94L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81jsoMrNo1L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/812g-tXQwBL._AC_UL1500_.jpg
B07KPYW1ZM,B07LC6SKW2,"adidas W E Lin Slim T Camiseta de Manga Corta, Mujer",adidas,TradeINN,no,132,Ropa,2,Camisetas de fitness para mujer,1,Camisetas para mujer,Ropa|Mujer|Ropa deportiva|Camisetas y camisas deportivas,https://www.amazon.es/dp/B07KPYW1ZM?psc=1,Blanco (White/Black),XXS,17.99,Envío en 1 a 3 semanas.,https://images-na.ssl-images-amazon.com/images/I/71cgncPz8AL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71MVYgGxa6L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71wO1XfdlyL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71KUaJVFrVL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/51dTefg6F7L._AC_UL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/512Y%2BqtBy9L._AC_UL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/51kIY4h013L._AC_UL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/51CT45-JHCL._AC_UL1000_.jpg
B07KSY1MZT,B07L1QFPB7,"Sudaderas con Capucha Mujer, Sudadera para Mujer De Manga Larga Moda Sudadera Pullover Tops Blusa Calle",G-Anica,GBL Eur,no,133,Ropa,1,Sudaderas con capucha para mujer,,,"Ropa|Mujer|Jerséis, cárdigans y sudaderas|Sudaderas|Sudaderas con capucha",https://www.amazon.es/dp/B07KSY1MZT?psc=1,Gris,S,13.96,En stock.,https://images-na.ssl-images-amazon.com/images/I/71pbwynDCTL._AC_UL1000_.jpg
B081TT3ZN5,B081TSZ4Y5,"adidas Tres Bds Mallas, Mujer",adidas,,no,135,Ropa,4,Leggings y medias deportivas para mujer,,,Ropa|Mujer|Ropa deportiva|Leggings y medias deportivas,https://www.amazon.es/dp/B081TT3ZN5?psc=1,Negro (Black/White),34,,Disponible a través de estos vendedores.,https://images-na.ssl-images-amazon.com/images/I/71b2r9C4f-L._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71MwGFy4CdL._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/91UpQ2Nax6L._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71uigymMNNL._AC_SL1500_.jpg
B072FTQ2LH,B071FQNRDF,L&K-II Leggins para Damas Pantalones Deportivos Largos para Training Running Yoga Fitness Transpirables con Cintura Alta 4113,GoVIA,eteem.service,no,136,Ropa,2,Leggings para mujer,,,Ropa|Mujer|Leggings,https://www.amazon.es/dp/B072FTQ2LH?psc=1,Azul,S/M(cintura:62-88),7.99,En stock.,https://images-na.ssl-images-amazon.com/images/I/71qBivchM3L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/713D88M9%2BIL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71vyKIrNJCL._AC_UL1500_.jpg
B07R9GXDFJ,B07R5CXMQ3,Amazon Essentials French Terry Jogger Sweatpant - athletic-pants Mujer,Amazon Essentials,Amazon,no,138,Ropa,5,Pantalones deportivos para mujer (Ropa,,,Ropa|Mujer|Ropa deportiva|Pantalones deportivos,https://www.amazon.es/dp/B07R9GXDFJ?psc=1,Light Grey Heather Star,XS-S,20,En stock.,https://images-na.ssl-images-amazon.com/images/I/81s3UvAQTWL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/91fYvnjFReL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81rGOkD3PBL._AC_UL1500_.jpg
B07RQNSJ1P,B07TXJBTMV,"HBselect Sostén De Lactancia Sin Costuras Set 3 pcs Multicolor,Sujetador de Maternidad,Sujetadores para Premamá Multicolor Sostén Embarazada",HBselect,HBselect,yes,141,Ropa,2,Sujetadores para premamá y de lactancia,,,Ropa|Mujer|Ropa premamá|Lencería y ropa interior|Sujetadores premamá y de lactancia,https://www.amazon.es/dp/B07RQNSJ1P?psc=1,"Set de 3 Negro,gris,violeta",S,19.99,En stock.,https://images-na.ssl-images-amazon.com/images/I/71dv3B-aLRL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/8158qC9NojL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71kDa9zZAOL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71CJGpHjCQL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71UfLkfCotL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71DjgFk6c5L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71Gl%2B0MGFzL._AC_UL1500_.jpg
B07FQ5WHZP,B07N6H9P6Q,FITTOO Mallas Pantalones Deportivos Leggings Mujer Yoga de Alta Cintura Elásticos y Transpirables para Yoga Running Fitness con Gran Elásticos,FITTOO,Your Home Security,yes,142,Ropa,5,Leggings y medias deportivas para mujer,6,Pantalones deportivos para mujer (Ropa,Ropa|Mujer|Ropa deportiva|Leggings y medias deportivas,https://www.amazon.es/dp/B07FQ5WHZP?psc=1,#7,M,14.99,En stock.,https://images-na.ssl-images-amazon.com/images/I/71a2Y7jJ8kL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71lKJX-0yXL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71NT19nzXBL._AC_UL1100_.jpg|https://images-na.ssl-images-amazon.com/images/I/713JcFIdmIL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61h0GSk5iqL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61oepVwXHYL._AC_UL1100_.jpg
B084ZRZJGQ,B084ZW7PWQ,"Disney Lilo y Stitch Pijama Mujer Invierno, Pijamas De 2 Piezas Camisetas Mujer Manga Larga Y Pantalón con Personaje Stitch, Ropa De Dormir Algodón Tallas 36-46, Regalos para Chicas",Disney,F & F Stores,yes,148,Ropa,1,Pijamas para mujer,,,Ropa|Mujer|Ropa de dormir|Pijamas,https://www.amazon.es/dp/B084ZRZJGQ?psc=1,,36-38,24.95,En stock.,https://images-na.ssl-images-amazon.com/images/I/81qbOZWwgrL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/91jwFqdOqFL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/8119MStj4AL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/A1XUb3dClLL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/91q7dWSlDCL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/A1W7KyAcI5L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81zKegBcqNL._AC_UL1500_.jpg
B0771XFC3P,B0776K3NB6,Boolavard Pack 4 Bra - el Confort Bra. Primera Calidad - Garantizada Mejor en el Mercado S-XXXL!,Boolavard,Boolavard,yes,149,Ropa,4,Sujetadores deportivos para mujer,,,Ropa|Mujer|Ropa deportiva|Ropa interior deportiva|Sujetadores deportivos,https://www.amazon.es/dp/B0771XFC3P?psc=1,3 Colour Set + Free Beige Bra,S - Chest Size - 34-35in UK 6 / EU 34,12.99,En stock.,https://images-na.ssl-images-amazon.com/images/I/81Ee4pEK76L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/41RVE6DExVL._AC_.jpg|https://images-na.ssl-images-amazon.com/images/I/41VhlBnn28L._AC_.jpg|https://images-na.ssl-images-amazon.com/images/I/71GHXnMF3OL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/41NHxOquW3L._AC_.jpg|https://images-na.ssl-images-amazon.com/images/I/411%2BwCGEwsL._AC_.jpg|https://images-na.ssl-images-amazon.com/images/I/71GHXnMF3OL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/41VMLiIVHVL._AC_.jpg|https://images-na.ssl-images-amazon.com/images/I/41Mh1TF51eL._AC_.jpg
B07Z61ZWJM,B07KB36JRG,"Ponmoo 2 en 1 Transpirable Ajustable Recuperación Post-Parto Vientre/Cintura/Soporte Pélvico Cinturón Faja para la Mujer y Maternidad, Faja Postparto Reductora Mujer Recuperación después del Parto",Ponmoo,Memoo,yes,153,Ropa,1,Fajas de embarazo para premamá,,,Ropa|Mujer|Ropa premamá|Lencería y ropa interior|Fajas de embarazo,https://www.amazon.es/dp/B07Z61ZWJM?psc=1,Beige,S: para cintura de 54 a 71 cm,15.99,Sólo queda(n) 5 en stock.,https://images-na.ssl-images-amazon.com/images/I/81to4XdizBL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61RZnS69E9L._AC_UL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/61l4K242b6L._AC_UL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/61jraqGNnPL._AC_UL1188_.jpg|https://images-na.ssl-images-amazon.com/images/I/6168D9Vtr3L._AC_.jpg|https://images-na.ssl-images-amazon.com/images/I/61sjxNsWY0L._AC_UL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/81iyUkragdL._AC_UL1500_.jpg
B07NQ8Q59Q,B07JLJ8BJK,Dim Braguita (Pack de 5) para Mujer,Dim,Amazon,no,161,Ropa,3,Bikinis y Braguitas para mujer,,,Ropa|Mujer|Lencería y ropa interior|Braguitas y culottes|Bikinis y Braguitas,https://www.amazon.es/dp/B07NQ8Q59Q?psc=1,Multicolor (Lot Good Mood 8pn),36 (Talla del fabricante: 36/38),20.54,En stock.,https://images-na.ssl-images-amazon.com/images/I/71MIjddB9OL._AC_UL1500_.jpg
B07X643NWB,B07PN773V2,Puma Push-up Bra 1p Ecom Sujetador con Aros para Mujer,Puma,TradeINN,no,162,Ropa,1,Sujetadores básicos para mujer,,,Ropa|Mujer|Lencería y ropa interior|Sujetadores|Sujetadores básicos,https://www.amazon.es/dp/B07X643NWB?psc=1,Negro,75D,28.49,Envío en 6 a 10 días.,https://images-na.ssl-images-amazon.com/images/I/71QTShRjIgL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71RVZk-dz3L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/719ZzLPqV3L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71XpNgJHQVL._AC_UL1500_.jpg
B07HYZRHK9,B07HZ92BXM,Amazon Essentials 4-Pack Seamless Bonded Stretch Thong Panty Mujer,Amazon Essentials,Amazon,no,167,Ropa,6,Culottes y Shorts para mujer,,,Ropa|Mujer|Lencería y ropa interior|Braguitas y culottes|Culottes y Shorts,https://www.amazon.es/dp/B07HYZRHK9?psc=1,Azul Y Rosa,XS-S,18.98,En stock.,https://images-na.ssl-images-amazon.com/images/I/61OZhWv3A6L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81EhbXh41ML._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81y-a501h5L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81B4EQ9q24L._AC_UL1500_.jpg
