item>>01 ASIN,item>>02 Parent ASIN,item>>03 Title,item>>04 Brand,item>>05 Seller,item>>06 Fulfilled by Amazon,item>>09 Sales Rank 2,item>>10 Sales Rank 2 Category,item>>11 Sales Rank 3,item>>12 Sales Rank 3 Category,item>>13 Categories,item>>14 URL,item>>15 Color,item>>16 Size,item>>17 Style,item>>19 Price,item>>20 Availability,item>>21 Images
B07VRRF1CQ,B07NR4CMF9,Lines Specialist Mutandine Assorbenti Post Parto Misura Large - 20 pezzi,Lines Specialist,Amazon,no,3,Mutandine per gestante,5,Assorbenti esterni,Abbigliamento|Donna|Abbigliamento premaman|Intimo|Mutandine per gestante,https://www.amazon.it/dp/B07VRRF1CQ?psc=1,,Size L,,26.1,Disponibilità immediata.,https://images-na.ssl-images-amazon.com/images/I/710x1DVtuQL._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71Iffb3LvgL._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71zA5IoqTKL._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71PlOyKqsVL._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71YlhgyS9hL._AC_SL1500_.jpg
B01N5WFFVF,B076VQ9VB6,Sundried Donne ritagliata Leggings 3/4 di Capri Tights Yoga esecuzione Gym Training,Sundried,Sundried Ltd,yes,3,Calzamaglie e leggings sportivi da donna,,,Abbigliamento|Donna|Abbigliamento sportivo|Calzamaglie e leggings sportivi,https://www.amazon.it/dp/B01N5WFFVF?psc=1,Black,S,,12.94,Disponibilità immediata.,https://images-na.ssl-images-amazon.com/images/I/61B37%2Bp9zbL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61u148%2BWC5L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/517kjscNK6L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/51AXteF1ThL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/610ttO0jkxL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/51OL%2BByvprL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61bp37xFVBL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/51CJWO5StRL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/51t2rx2zJQL._AC_UL1500_.jpg
B0747MDBRL,B0747PNCL3,JADEA 6 Slip Midi Donna Cotone bielastico Art. 7002,JADEA,viemmestyl3,no,4,Bikini e Slip,,,Abbigliamento|Donna|Lingerie & Intimo|Mutande|Bikini e Slip,https://www.amazon.it/dp/B0747MDBRL?psc=1,Bianco,3,,15.89,Disponibilità immediata.,https://images-na.ssl-images-amazon.com/images/I/51bD5qUHeEL._AC_UL1001_.jpg
B07QRPB3L7,B07WQY6KKN,"PETTI Artigiani Italiani - Accappatoio Microfibra, Accappatoio Calibrato, Accappatoio Fuori Misura, Accappatoio Uomo Calibrato, Accappatoio XXXL, Accappatoio Blu",PETTI Artigiani Italiani,Amazon,no,6,Biancheria da bagno,3,Accappatoi e vestaglie da donna,Abbigliamento|Donna|Pigiami e camicie da notte|Accappatoi e vestaglie,https://www.amazon.it/dp/B07QRPB3L7?psc=1,Blu Elettrico,XXXL (3 Extra Large),,27.3,Disponibilità immediata.,https://images-na.ssl-images-amazon.com/images/I/61DUhfRaINL._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61Bk2FmtLoL._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81zNybm%2B8UL._AC_SL1500_.jpg
B074WD8TCF,B07QCCNLHQ,"PUMA Calze Sportive, (Pacco da 3) Unisex – Adulto",PUMA,,no,7,Calze sportive da uomo,4,Calze sportive da donna,Abbigliamento|Donna|Abbigliamento sportivo|Calze sportive,https://www.amazon.it/dp/B074WD8TCF?psc=1,Blu Navy,35-38,,,Disponibile presso questi venditori.,https://images-na.ssl-images-amazon.com/images/I/91VklDQY1jL._AC_UL1500_.jpg
B00S87OKB2,B00T64URTA,Italian Fashion IF Camicia da Notte Premaman J4J 0114,Italian Fashion IF,ITALIAN FASHION,no,2,Pigiami e camicie da notte premaman,,,Abbigliamento|Donna|Abbigliamento premaman|Pigiami e camicie da notte,https://www.amazon.it/dp/B00S87OKB2?psc=1,Blu Scuro,S,,19.99,Disponibilità immediata.,https://images-na.ssl-images-amazon.com/images/I/91F7rvF%2BZ%2BL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81TWqZIk7ML._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81shAduNjvL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81s9CKIOq1L._AC_UL1500_.jpg
B01NALU1ZG,B081492KM5,"PUMA Iconic Racer Back 1p, Reggiseno Donna",PUMA,,no,2,Reggiseni sportivi per donna,,,Abbigliamento|Donna|Abbigliamento sportivo|Intimo sportivo|Reggiseni sportivi,https://www.amazon.it/dp/B01NALU1ZG?psc=1,Nero,XS,,,Disponibile presso questi venditori.,https://images-na.ssl-images-amazon.com/images/I/81Vj51xNcTL._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81yZpwSpkRL._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81yKTRxM1%2BL._AC_SL1500_.jpg
B07GDTNLJY,B078WYZSCS,"Bonjour - Abbigliamento sportivo da donna/canotta e leggings (set da 2 pezzi, top e leggings), set da palestra o per yoga, elasticizzato",Bonjour,Mailboxsocks,yes,1,Tute da ginnastica da donna (Abbigliamento,1,Completi sportivi da donna,Abbigliamento|Donna|Abbigliamento sportivo|Completi sportivi,https://www.amazon.it/dp/B07GDTNLJY?psc=1,3/4 length Vest Top Black,,,12.95,Disponibilità: solo 4,https://images-na.ssl-images-amazon.com/images/I/81KxN7YwjUL._AC_SL1500_.jpg
B077SWWTRG,B084XTQRS9,"Nike - H86 cap Metal Swoosh, Cappellino con Visiera Unisex - Adulto",Nike,,no,1,Cappellini da corsa da donna,1,Cappellini da baseball da uomo,Abbigliamento|Uomo|Accessori|Cappelli e cappellini|Cappellini da baseball,https://www.amazon.it/dp/B077SWWTRG?psc=1,Nero/Argento,Taglia unica,,,Disponibile presso questi venditori.,https://images-na.ssl-images-amazon.com/images/I/71kMgJxL%2BIL._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71uci4Qaq1L._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71rzSe8eUbL._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/5149sGcSwSL._AC_SL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/5183OeL4ImL._AC_SL1048_.jpg
B07BCGHYVZ,B07CL7R53L,FocusCare la chemioterapia per il cancro cancro copricapo femminile turbante turbante scarfs pac,FocusCare,Beauty Turban,yes,1,Fazzoletti da testa da donna,,,Abbigliamento|Donna|Accessori|Sciarpe e stole|Fazzoletti da testa,https://www.amazon.it/dp/B07BCGHYVZ?psc=1,White Flowers,,,18.98,Disponibilità immediata.,https://images-na.ssl-images-amazon.com/images/I/51oCX7xTCbL._AC_UL1001_.jpg|https://images-na.ssl-images-amazon.com/images/I/518awieYl2L._AC_UL1001_.jpg|https://images-na.ssl-images-amazon.com/images/I/513lL4vsYbL._AC_UL1001_.jpg|https://images-na.ssl-images-amazon.com/images/I/51486upPwoL._AC_UL1001_.jpg|https://images-na.ssl-images-amazon.com/images/I/51F%2B0zNGX9L._AC_UL1001_.jpg|https://images-na.ssl-images-amazon.com/images/I/51RVhQEa%2BbL._AC_UL1001_.jpg|https://images-na.ssl-images-amazon.com/images/I/513sl-Mkj2L._AC_UL1001_.jpg
B01K7TESX8,B085Z9RCML,Cotonella Slip Vita Bassa Donna in Cotone Elasticizzato Art. 3165 - Confezione da 6 Pezzi - Colori Bianco E Nero,Cotonella,,no,5,Bikini e Slip,2,Culotte e Parigamba,Abbigliamento|Donna|Lingerie & Intimo|Mutande|Bikini e Slip,https://www.amazon.it/dp/B01K7TESX8?psc=1,Bianco,2-S,,,Disponibile presso questi venditori.,https://images-na.ssl-images-amazon.com/images/I/51I5TTjz8YL._AC_UL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/412tdGXvdxL._AC_.jpg|https://images-na.ssl-images-amazon.com/images/I/41Nj-VSIS8L._AC_.jpg|https://images-na.ssl-images-amazon.com/images/I/71j-SPhx5vL._AC_UL1231_.jpg|https://images-na.ssl-images-amazon.com/images/I/41cT0timgtL._AC_.jpg|https://images-na.ssl-images-amazon.com/images/I/71QaMaX0XRL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61Jz0y9Q2VL._AC_UL1300_.jpg
B07WTZWK8N,B07WW31G1T,"Fasce Per Capelli Rigidi, Fasce Per Capelli In Spugna Di Velluto Makone 4 Pezzi - Fasce Per Capelli Imbottite Accessori Per Capelli Per Donna (Vino Rosso)",Makone,JIONG,yes,1,Cerchietti e fasce per capelli,,,Bellezza|Cura dei capelli|Accessori styling capelli|Cerchietti e fasce per capelli,https://www.amazon.it/dp/B07WTZWK8N?psc=1,DT025,,,11.87,Disponibilità immediata.,https://images-na.ssl-images-amazon.com/images/I/71Ha5PV3vFL._AC_SL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/715Tsf9AY9L._AC_SL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/611ip7myugL._AC_SL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/71%2B00yaxhmL._AC_SL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/71W0pHcNbKL._AC_SL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/7169fxwq2bL._AC_SL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/71TM0E9t5SL._AC_SL1200_.jpg
B0036DRWKO,B07Q4C35ND,"Nike - Victory Compression, Top Sportivo Donna",Nike,,no,3,Reggiseni sportivi per donna,,,Abbigliamento|Donna|Abbigliamento sportivo|Intimo sportivo|Reggiseni sportivi,https://www.amazon.it/dp/B0036DRWKO?psc=1,Bianco (White/Black),XS,,,Disponibile presso questi venditori.,https://images-na.ssl-images-amazon.com/images/I/71FNXsYNHxL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81vlXFX%2BAWL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71inWpXv-tL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/41CPnHN9DYL._AC_UL1177_.jpg|https://images-na.ssl-images-amazon.com/images/I/514WDzsJf4L._AC_UL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/51HW3gJTy6L._AC_UL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/41jgsPORutL._AC_.jpg|https://images-na.ssl-images-amazon.com/images/I/71-Amujv1uL._AC_UL1500_.jpg
B07916ZH5Q,B079174ZZH,Topgrowth Occhi di Gatto Triangle Occhiali da Sole Donna Vintage Retro Eyewear Integrato UV Caramelle Colorate Bicchieri,Topgrowth,Topgrowth,no,1,Occhiali da sole da donna,,,Abbigliamento|Donna|Accessori|Occhiali e accessori|Occhiali da sole,https://www.amazon.it/dp/B07916ZH5Q?psc=1,A,,,2.29,Disponibilità immediata.,https://images-na.ssl-images-amazon.com/images/I/51sP7WFvANL._AC_UL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/518U2-Q7QLL._AC_UL1000_.jpg
B07RZLJSBK,B07W99T5K9,Levi's The Perfect Tee' Maglietta Donna,Levi's,,no,1,Canotte e top da donna,,,"Abbigliamento|Donna|T-shirt, top e bluse|Canotte e top",https://www.amazon.it/dp/B07RZLJSBK?psc=1,Bianco (90's Serif T2 White+ 0781),XXS,,,Disponibile presso questi venditori.,https://images-na.ssl-images-amazon.com/images/I/81y9IfwuChL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81bhnvzhKiL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71vAyLpaWOL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81ttQQQiWPL._AC_UL1500_.jpg
B01MYDKL2R,B07HYJ12YW,"Scholl Light Legs Collant Donna Compressione Graduata 20 Den, L, Nero, 1 Paio",Scholl,Amazon,no,1,Collant e calzamaglie da donna,,,Abbigliamento|Donna|Calze e collant|Collant e calzamaglie,https://www.amazon.it/dp/B01MYDKL2R?psc=1,Nero,L,20 Den,11.15,Disponibilità immediata.,https://images-na.ssl-images-amazon.com/images/I/51TWnyxEJML._AC_SL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/61I%2Bca7-o-L._AC_SL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/81TpuNtpERL._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71YF5Csi2DL._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/714LSYevCRL._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71tV7f6sazL._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61v3sp63BdL._AC_SL1000_.jpg
B07DFVSC6V,B07Q7S8JH8,"PUMA Essentials, Felpa Donna",PUMA,Amazon,no,1,Felpe senza cappuccio da donna,,,Abbigliamento|Donna|Felpe|Felpe senza cappuccio,https://www.amazon.it/dp/B07DFVSC6V?psc=1,Nero (Cotton Black),XS,,54.95,Disponibilità immediata.,https://images-na.ssl-images-amazon.com/images/I/71BWy6fhwCL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71PR0uAMNlL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71moNXi1ZXL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/815aK8cIklL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/913WR-SeOiL._AC_UL1500_.jpg
B01K7TERUM,B01K7TER1Q,Cotonella Slip Midi Donna in Cotone Elasticizzato Art. 3940 - Confezione da 6 Pezzi - Colori Bianco E Nero,Cotonella,viemmestyl3,no,3,Culotte e Parigamba,,,Abbigliamento|Donna|Lingerie & Intimo|Mutande|Culotte e Parigamba,https://www.amazon.it/dp/B01K7TERUM?psc=1,Bianco,2-S,,16.59,Disponibilità immediata.,https://images-na.ssl-images-amazon.com/images/I/61EjMkCX4YL._AC_UL1280_.jpg
B07DFRKNLP,B07Q3GPSZW,"PUMA Essentials W Swt, Pantaloni Donna",PUMA,Amazon,no,3,Pantaloni sportivi da donna (Abbigliamento,,,Abbigliamento|Donna|Abbigliamento sportivo|Pantaloni sportivi,https://www.amazon.it/dp/B07DFRKNLP?psc=1,Grigio (Light Grey Heather),XS,,39.95,Disponibilità immediata.,https://images-na.ssl-images-amazon.com/images/I/81fzoejuonL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81quC%2BwAWtL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71dDkRy3ntL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81KoS81ATkL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81h0gCuykoL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71Rqkj6I%2BgL._AC_UL1500_.jpg
B00523N21E,B00523N0RK,"Nur Die Calze, Transparenti Donna",Nur Die,Amazon,no,2,Collant e calzamaglie da donna,1,Autoreggenti da donna,Abbigliamento|Donna|Calze e collant|Autoreggenti,https://www.amazon.it/dp/B00523N21E?psc=1,Beige (Hautfarben (Amber 230)),S-M,,5.99,Disponibilità immediata.,https://images-na.ssl-images-amazon.com/images/I/61iUrDr4lhL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61UEjjuTrdL._AC_UL1500_.jpg
B01LVXS99X,B07J2TD9QB,"GOLDEN LADY Collant, 20 DEN Donna",GOLDEN LADY,Amazon,no,3,Collant e calzamaglie da donna,,,Abbigliamento|Donna|Calze e collant|Collant e calzamaglie,https://www.amazon.it/dp/B01LVXS99X?psc=1,Marrone (Daino 334b),Small (Taglia produttore:2–S),,3.99,Disponibilità immediata.,https://images-na.ssl-images-amazon.com/images/I/81qvjoFWALL._AC_UL1500_.jpg
B0753MSB82,B01E8D7GVA,Parsa Fashions - Felpa con Cappuccio - Donna,Parsa Fashions,,no,1,Felpe con cappuccio da donna,,,Abbigliamento|Donna|Felpe|Felpe con cappuccio,https://www.amazon.it/dp/B0753MSB82?psc=1,Red,6XL,,,Disponibile presso questi venditori.,https://images-na.ssl-images-amazon.com/images/I/61sq6wDUk1L._AC_UL1500_.jpg
B07MZLFF3L,B085TZJDW2,"adidas - Essentials Linear Tight, Aderente. Donna",adidas,LineaSportMatera,no,4,Calzamaglie e leggings sportivi da donna,,,Abbigliamento|Donna|Abbigliamento sportivo|Calzamaglie e leggings sportivi,https://www.amazon.it/dp/B07MZLFF3L?psc=1,gris foncÃ/rose,XXS,,41.8,Disponibilità: solo 1,https://images-na.ssl-images-amazon.com/images/I/81yfWHxzoSL._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81FjKF0NGHL._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/91rp6K-LESL._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81XRhf6ajKL._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/51ZxdF2woPL._AC_SL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/51dolrBocWL._AC_SL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/51iBpjKw9UL._AC_SL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/51eRUsYXlgL._AC_SL1000_.jpg
B00BGVEC9M,B07RF8TRBQ,"Fruit of the Loom - 61-372-0, Tunica Donna",Fruit of the Loom,Pertemba IT,no,3,T-shirt da donna,,,"Abbigliamento|Donna|T-shirt, top e bluse|T-shirt",https://www.amazon.it/dp/B00BGVEC9M?psc=1,,XS,,3.95,Generalmente spedito entro 4-5 giorni.,https://images-na.ssl-images-amazon.com/images/I/41g%2B-elby5L._AC_UL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/41OOutVNGhL._AC_UL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/614xcNRP8FL._AC_UL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/51EuiqsSm8L._AC_UL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/71Rlxjo5%2BrL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/41Nnw7Lat-L._AC_UL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/71JlVBWBQOL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/41R2OOR8TUL._AC_UL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/61d896Rxe2L._AC_UL1200_.jpg
B07VGH175C,B083F11N4H,"Marchio Amazon - Iris & Lilly Culotte Donna, Pacco da 5",Iris & Lilly,,no,7,Mutande da donna,,,Abbigliamento|Donna|Lingerie & Intimo|Mutande,https://www.amazon.it/dp/B07VGH175C?psc=1,Multicolore (Twilight Blue/Pearl/Cashmere Blue),XXX-Large (Talla produttore: XXX-large),,,Disponibile presso questi venditori.,https://images-na.ssl-images-amazon.com/images/I/812PmgvStTL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/91unRST%2BxxL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81CA7PZmirL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/817LiRgFg5L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/918fMf3Ah-L._AC_UL1500_.jpg
