item>>01 ASIN,item>>02 Parent ASIN,item>>03 Title,item>>04 Brand,item>>05 Seller,item>>06 Fulfilled by Amazon,item>>07 Sales Rank 1,item>>08 Sales Rank 1 Caregory,item>>09 Sales Rank 2,item>>10 Sales Rank 2 Category,item>>11 Sales Rank 3,item>>12 Sales Rank 3 Category,item>>13 Categories,item>>14 URL,item>>15 Color,item>>16 Size,item>>19 Price,item>>20 Availability,item>>21 Images
B007HRWI4U,B009YR34AI,WONDERWINK Women's Scrubs Bravo 5 Pocket V-Neck Top,WONDERWINK,Amazon,no,29,Clothing & Accessories,1,Women's Medical Scrub Tops,2,"Men's Uniforms, Work & Safety","Clothing & Accessories|Women|Shops|Plus-Size|Lingerie, Sleep & Lounge|Intimates",https://www.amazon.ca/dp/B007HRWI4U?psc=1,Black,XX-Small,18.99,Only 2 left in stock (more on the way).,https://images-na.ssl-images-amazon.com/images/I/81vWptIZdVL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81-yWYDaB6L._AC_UL1500_.jpg
B01NBE8QDA,B01MRI6IBH,Ambielly Cute Animal Design Women's Casual Comfortable Cotton Crew Socks,Ambielly,OBBwoo,no,32,Clothing & Accessories,1,Women's Dress & Casual Socks,,,Clothing & Accessories|Women|Socks & Hosiery|Dress & Casual Socks,https://www.amazon.ca/dp/B01NBE8QDA?psc=1,3 Pairs Bohemia,,12.29,In Stock.,https://images-na.ssl-images-amazon.com/images/I/81NBS9WYOGL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71o8CIel3-L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81Vug2Ova%2BL._AC_UL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/71LeYA0rP4L._AC_UL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/71Dia1LJhQL._AC_UL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/71OWP25etdL._AC_UL1200_.jpg
B06Y5YX7W9,B07118YQ4W,WHITE CROSS Fit Women's Jogger Scrub Pant,WHITE CROSS,Professional Outfitters,yes,33,Clothing & Accessories,1,Women's Medical Scrub Bottoms,13,Women's Clothing,"Clothing & Accessories|Uniforms, Work & Safety|Women|Medical|Scrub Bottoms",https://www.amazon.ca/dp/B06Y5YX7W9?psc=1,Black,XX-Small,39.07,In Stock.,https://images-na.ssl-images-amazon.com/images/I/61zyr336C9L._AC_UL1500_.jpg
B07K1CV1DT,B07K162CM2,Freemale Womens Mama Bear Sweatshirt Long Sleeve Pullover Casual Pocket Blouses,Freemale,Freemale,yes,34,Clothing & Accessories,1,Women's Sweatshirts,,,Clothing & Accessories|Women|Hoodies & Sweatshirts|Sweatshirts,https://www.amazon.ca/dp/B07K1CV1DT?psc=1,Black,Small,29.99,In Stock.,https://images-na.ssl-images-amazon.com/images/I/71OsE-GiudL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61vgBW2W1TL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71bvBMTV0TL._AC_UL1466_.jpg
B07G6K2KT3,B07G6JD7JJ,YAMTHR Womens Wide Leg Palazzo Pants Floral Printed High Waist Drawstring Trousers Lounge Pants,YAMTHR,YAMTHR Direct,no,39,Clothing & Accessories,4,Women's Athletic Pants,,,Clothing & Accessories|Women|Activewear|Pants,https://www.amazon.ca/dp/B07G6K2KT3?psc=1,Army Green,Small,19.99,In Stock.,https://images-na.ssl-images-amazon.com/images/I/61QXrlljeGL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61ar36XpmVL._AC_UL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/71GN3eOOh6L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71QeoMy9eFL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/911Zz0J3hkL._AC_UL1500_.jpg
B00L5YL1M6,B00L5YKF0A,Hanes Women's Cozy Seamless Wire-Free Bra,Hanes,Amazon,no,40,Clothing & Accessories,1,Women's Everyday Bras,,,"Clothing & Accessories|Women|Lingerie, Sleep & Lounge|Lingerie & Underwear|Bras|Everyday Bras",https://www.amazon.ca/dp/B00L5YL1M6?psc=1,White,Small,13.99,In Stock.,https://images-na.ssl-images-amazon.com/images/I/61cf4%2BPW2%2BL._AC_UL1258_.jpg|https://images-na.ssl-images-amazon.com/images/I/61GqkMvlo1L._AC_UL1275_.jpg|https://images-na.ssl-images-amazon.com/images/I/41oUFrQAN0L._AC_.jpg|https://images-na.ssl-images-amazon.com/images/I/41wjVUQGpyL._AC_.jpg|https://images-na.ssl-images-amazon.com/images/I/41Cd4dU%2BZ6L._AC_.jpg|https://images-na.ssl-images-amazon.com/images/I/41FI7k49JdL._AC_.jpg
B0170BTJAS,B07FN9MQYL,"9PCS Magic Scarf, Seamless Bandanas Tube, Headband",KINGREE,Kingree International Limited,yes,42,Clothing & Accessories,1,Women's Fashion Scarves,2,Sports Fan Headbands,Clothing & Accessories|Women|Accessories|Scarves & Wraps|Fashion Scarves,https://www.amazon.ca/dp/B0170BTJAS?psc=1,3x3 Solid Color (1),,24.07,Only 1 left in stock.,https://images-na.ssl-images-amazon.com/images/I/71cVV9JLw5L._AC_UL1300_.jpg|https://images-na.ssl-images-amazon.com/images/I/81auWuF9K8L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/514lophpZ9L._AC_.jpg|https://images-na.ssl-images-amazon.com/images/I/81H2sWYcQrL._AC_UL1417_.jpg|https://images-na.ssl-images-amazon.com/images/I/71JB5Os%2B0RL._AC_UL1010_.jpg|https://images-na.ssl-images-amazon.com/images/I/51KPJysZywL._AC_.jpg|https://images-na.ssl-images-amazon.com/images/I/51bCFvrOkRL._AC_.jpg
B01N5P20S5,B01N39MD3T,QUEENIEKE Women Yoga Pants Hidden Pockets Workout Running Tights Plus Size Sport Leggings 60126,QUEENIEKE,Queenie Ke,yes,43,Clothing & Accessories,3,Women's Athletic Tights & Leggings,,,Clothing & Accessories|Women|Activewear|Tights & Leggings,https://www.amazon.ca/dp/B01N5P20S5?psc=1,Midnight Black,X-Small,30.99,In Stock.,https://images-na.ssl-images-amazon.com/images/I/71SfztUpBqL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71wAtjhEJ2L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61ocJF8y6rL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61mrFQl-fyL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81ZGD5-NhVL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81D1e96ElgL._AC_UL1500_.jpg
B07SYNH37H,B072MT68VC,ODODOS High Waist Out Pocket Yoga Pants Tummy Control Workout Running 4 Way Stretch Yoga Leggings,ODODOS,ODODOS,yes,44,Clothing & Accessories,4,Women's Athletic Tights & Leggings,,,Clothing & Accessories|Women|Activewear|Tights & Leggings,https://www.amazon.ca/dp/B07SYNH37H?psc=1,PocketCapris714-Black,Small,25.98,In Stock.,https://images-na.ssl-images-amazon.com/images/I/51u9-lumBaL._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/51HTkEuSfSL._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/51izgroKqkL._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/51gt9Zt273L._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61pjk5KSelL._AC_SL1499_.jpg|https://images-na.ssl-images-amazon.com/images/I/71-666ZOrKL._AC_SL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/612XpcAbD%2BL._AC_SL1250_.jpg
B07752LYFW,B0775F3D2C,Amazon Essentials Women's 2-Pack Classic-Fit Short-Sleeve V-Neck T-Shirt,Amazon Essentials,Amazon,no,45,Clothing & Accessories,1,Women's T-Shirts,,,"Clothing & Accessories|Women|Tops, Tees & Blouses|T-Shirts",https://www.amazon.ca/dp/B07752LYFW?psc=1,Aqua/White,X-Small,25,In Stock.,https://images-na.ssl-images-amazon.com/images/I/71e9IDoNK3L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81ibqgPTFSL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/815W-pEzAFL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71sHYy1rgUL._AC_UL1500_.jpg
