item>>01 ASIN,item>>02 Parent ASIN,item>>03 Title,item>>04 Brand,item>>05 Seller,item>>06 Fulfilled by Amazon,item>>07 Sales Rank 1,item>>08 Sales Rank 1 Caregory,item>>09 Sales Rank 2,item>>10 Sales Rank 2 Category,item>>11 Sales Rank 3,item>>12 Sales Rank 3 Category,item>>13 Categories,item>>14 URL,item>>15 Color,item>>16 Size,item>>19 Price,item>>20 Availability,item>>21 Images
B07Z9WHWDW,B0829TS9Z4,Angelhood Nursing Bra Wireless Bra Women's Sleeping Maternity Bra Breastfeeding Bra Pack of 2,Angelhood,habi-accessories,yes,79,Clothing & Accessories,1,Nursing & Maternity Bras,,,Clothing & Accessories|Women|Shops|Maternity|Lingerie & Underwear|Nursing & Maternity Bras,https://www.amazon.ca/dp/B07Z9WHWDW?psc=1,Black&pink,S 30C 30D 32A 32B 32C,28.99,In Stock.,https://images-na.ssl-images-amazon.com/images/I/71q0s7lXJwL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71Qn7zs-EJL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71yxRzYP7WL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61U8Pp9IqiL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61yDgMIedVL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71FvZYkMAPL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71STduDYFAL._AC_UL1500_.jpg
B074PQQPHF,B075J356R3,Lemef 3-Pack Seamless Sports Bra Wirefree Yoga Bra with Removable Pads for Women,Lemef,Lemef,yes,80,Clothing & Accessories,3,Women's Sports Bras,,,Clothing & Accessories|Women|Activewear|Sports Bras & Underwear|Sports Bras,https://www.amazon.ca/dp/B074PQQPHF?psc=1,black&white&nude,Small,25.99,In Stock.,https://images-na.ssl-images-amazon.com/images/I/61SiFg5iKlL._AC_UL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/61uP%2BwDTK4L._AC_UL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/61LpgERC7uL._AC_UL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/61IiW0vniPL._AC_UL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/61JDiR5ITTL._AC_UL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/51Vy0H-0qvL._AC_UL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/61vgNN1aKML._AC_UL1000_.jpg
B06WD5Z6SJ,B01GPDOEDE,Urban CoCo Women's Basic Flared Casual Mini Skate Skirt Versatile Stretchy,Urban CoCo,"Bingo E-commerce Co.,Ltd",yes,84,Clothing & Accessories,1,Women's Skirts,,,Clothing & Accessories|Women|Skirts,https://www.amazon.ca/dp/B06WD5Z6SJ?psc=1,Black,X-Small,16.23,In Stock.,https://images-na.ssl-images-amazon.com/images/I/71ughJzu-PL._AC_UL1300_.jpg|https://images-na.ssl-images-amazon.com/images/I/71GM19leSHL._AC_UL1300_.jpg|https://images-na.ssl-images-amazon.com/images/I/717Z-BZnW3L._AC_UL1300_.jpg|https://images-na.ssl-images-amazon.com/images/I/811IcxL9NQL._AC_UL1500_.jpg
B0741795FJ,B07417M6K8,Avidlove Women Lingerie Lace Babydoll V Neck Sleepwear Nightwear,Avidlove,YYSSY,no,87,Clothing & Accessories,1,Women's Erotic Lingerie Sets,1,Women's Babydolls,"Clothing & Accessories|Women|Lingerie, Sleep & Lounge|Lingerie & Underwear|Babydolls",https://www.amazon.ca/dp/B0741795FJ?psc=1,A#Green,Small,19.99,Usually ships within 2 to 3 days.,https://images-na.ssl-images-amazon.com/images/I/81gocMQmEHL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81rJZcBzmzL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/716NLMqh1pL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81kV8y4ok0L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81WtsdzRKFL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/818W%2Bv8aY2L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81SZDkczA6L._AC_UL1500_.jpg
B0827CB1P2,B07Q7PRH42,onlypuff Women's Casual Solid Long Sleeve Tunic Tops with Pockets,onlypuff,onlypuff-ca,yes,88,Clothing & Accessories,1,Women's Tunics,,,"Clothing & Accessories|Women|Tops, Tees & Blouses|Tunics",https://www.amazon.ca/dp/B0827CB1P2?psc=1,1-Black,Small,28.99,In Stock.,https://images-na.ssl-images-amazon.com/images/I/61fifGFWEjL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61T7tnMNAlL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61evd%2BUaVVL._AC_UL1500_.jpg
B07TNRBS69,B07G7J8MLS,Sivvan Women’s Scrub Set - Multi Pocket Cargo Pants & Stylish Mock Wrap Top (Available in 15 Colors),Sivvan,Apparel Xpert,no,91,Clothing & Accessories,1,Women's Medical Scrub Sets,36,Women's Clothing,"Clothing & Accessories|Uniforms, Work & Safety|Women|Medical|Scrub Sets",https://www.amazon.ca/dp/B07TNRBS69?psc=1,Black,3X-Large,45.99,Usually ships within 2 to 3 days.,https://images-na.ssl-images-amazon.com/images/I/81PtJOKmNvL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71yT2leN9oL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81JbcnLupyL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81uREKWITsL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81bIe1hgn8L._AC_UL1500_.jpg
B00YAQAU00,B00FYF04PW,Dickies Women's EDS Signature Scrubs Missy Fit Pull-On Cargo Pant,Dickies,Amazon,no,96,Clothing & Accessories,2,Women's Medical Scrub Bottoms,37,Women's Clothing,"Clothing & Accessories|Uniforms, Work & Safety|Women|Medical|Scrub Bottoms",https://www.amazon.ca/dp/B00YAQAU00?psc=1,Olive,XX-Small Petite,22.85,Only 3 left in stock.,https://images-na.ssl-images-amazon.com/images/I/71WopauuQKL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71XCVu1bE-L._AC_UL1500_.jpg
B07V2D9YH5,B07QTWP1FD,Women's High Waist Yoga Pants with Side Pockets & Inner Pocket Tummy Control Workout Running 4-Way Stretch Sports Leggings,HOFI,HOFi Yoga,yes,98,Clothing & Accessories,1,Women's Yoga Pants,4,Women's Leggings,Clothing & Accessories|Women|Leggings,https://www.amazon.ca/dp/B07V2D9YH5?psc=1,9841 Dark Red,X-Small,25.99,In Stock.,https://images-na.ssl-images-amazon.com/images/I/61MeGGDETKL._AC_UL1300_.jpg|https://images-na.ssl-images-amazon.com/images/I/616cv6fLFYL._AC_UL1300_.jpg|https://images-na.ssl-images-amazon.com/images/I/61-R8JikdXL._AC_UL1300_.jpg|https://images-na.ssl-images-amazon.com/images/I/71YI7-xLoVL._AC_UL1300_.jpg|https://images-na.ssl-images-amazon.com/images/I/613RoVvh-dL._AC_UL1300_.jpg|https://images-na.ssl-images-amazon.com/images/I/61OzVR95mkL._AC_UL1300_.jpg|https://images-na.ssl-images-amazon.com/images/I/71Z44W-kHBL._AC_UL1500_.jpg
B00HUS7C2O,B00HUS6VOO,"Fruit of the Loom Women's 6 Pack Heather Low-Rise Hipster Panties, Assorted Colors",Fruit of the Loom,Amazon,no,101,Clothing & Accessories,1,Women's Hipster Panties,,,"Clothing & Accessories|Women|Lingerie, Sleep & Lounge|Lingerie & Underwear|Panties|Hipsters",https://www.amazon.ca/dp/B00HUS7C2O?psc=1,Assorted,Small,12.99,In Stock.,https://images-na.ssl-images-amazon.com/images/I/9131uRDc8%2BL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81OM6bbxBcL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/91UsFO2MlcL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/714AMIgKZkL._AC_UL1500_.jpg
B07TWJWW4D,B07TTFH4NB,Gimdumasa Yoga Pants for Women Flex Leggings High Waist with Pockets Tummy Control Workout Running Tights GI188,Gimdumasa,Gimdumasa,yes,105,Clothing & Accessories,7,Women's Athletic Tights & Leggings,,,Clothing & Accessories|Women|Activewear|Tights & Leggings,https://www.amazon.ca/dp/B07TWJWW4D?psc=1,Deep Blue,X-Small,29.99,In Stock.,https://images-na.ssl-images-amazon.com/images/I/51Hy1FtpCuL._AC_UL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/514pXtGnCpL._AC_UL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/51dr0yo0vZL._AC_UL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/51MqyK75FKL._AC_UL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/71VGlePm%2BFL._AC_UL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/61wd6Wd1FeL._AC_UL1000_.jpg
B00ZUNHBQS,B0868K1TYG,"Hanes Women's V-Notch Pullover Fleece Sweatshirt,",Hanes,Amazon,no,106,Clothing & Accessories,2,Women's Sweatshirts,,,Clothing & Accessories|Women|Hoodies & Sweatshirts|Sweatshirts,https://www.amazon.ca/dp/B00ZUNHBQS?psc=1,Ebony,Small,11.78,In Stock.,https://images-na.ssl-images-amazon.com/images/I/91l3A3Rjg-L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/91hOjDB25NL._AC_UL1500_.jpg
B07DB5XN23,B07DB5QL1J,Ambielly Winter Women Socks 5 Pairs Vintage Style Knit Wool Casual Socks Warm Socks,Ambielly,OBBwoo,no,107,Clothing & Accessories,2,Women's Dress & Casual Socks,,,Clothing & Accessories|Women|Socks & Hosiery|Dress & Casual Socks,https://www.amazon.ca/dp/B07DB5XN23?psc=1,SD10004A,,8.9,In Stock.,https://images-na.ssl-images-amazon.com/images/I/81Iu3%2Bg2y%2BL._AC_UL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/71NZP-ty%2BKL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71NWPFAfcZL._AC_UL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/616SJTktWOL._AC_UL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/81h2KNJarwL._AC_UL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/71i5Fz39LCL._AC_UL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/61cqHJNKw7L._AC_UL1000_.jpg
B072F6QR84,B078S2N86H,"Yoga Socks for Women, Toeless Non Slip Skid Grip Sock - Sports, Barre, Ballet, Dance",Tucketts,Tucketts.,yes,108,Clothing & Accessories,43,Women's Clothing,1,Women's Yoga Socks,Sports & Outdoors|Sports Apparel|Women|Yoga & Pilates|Socks,https://www.amazon.ca/dp/B072F6QR84?psc=1,Black Swan,,15.99,In Stock.,https://images-na.ssl-images-amazon.com/images/I/61-r6vvqyOL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61836Z5lT0L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81q1ZZr%2BwjL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81D3u-lFPwL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/41ze6vO8qOL._AC_.jpg|https://images-na.ssl-images-amazon.com/images/I/81K9VuR1C4L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71basKS2TtL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81yPaoMBckL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/41afTrGKd%2BL._AC_.jpg
B077597WP8,B07752L42R,Amazon Essentials Women's 4-Pack Camisole,Amazon Essentials,Amazon,no,109,Clothing & Accessories,1,Women's Camisoles & Tanks,1,Women's Tank Tops & Camis,"Clothing & Accessories|Women|Tops, Tees & Blouses|Tank Tops & Camis",https://www.amazon.ca/dp/B077597WP8?psc=1,Light Grey Heather/White/Light Pink/Light Blue,X-Small,32,Only 1 left in stock.,https://images-na.ssl-images-amazon.com/images/I/719W5W6dczL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81nEfBhtg6L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/814SpHb52nL._AC_UL1500_.jpg
B01M20UQCV,B01M211FKZ,Hanes Womens Sport Cool Dri Performance Long Sleeve Tee Shirt,Hanes,Amazon,no,110,Clothing & Accessories,1,Women's Athletic Shirts & Tees,,,Clothing & Accessories|Women|Activewear|Shirts & Tees,https://www.amazon.ca/dp/B01M20UQCV?psc=1,Awesome Blue,Small,12.14,In Stock.,https://images-na.ssl-images-amazon.com/images/I/81lcSS9uVNL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81YW1Drml9L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71m%2B5rvX%2BmL._AC_UL1500_.jpg
B071JVK8S4,B00GMJ2JBQ,"Fruit of the Loom Women's Built-Up Sports Bra, (Pack of 3)",Fruit of the Loom,Amazon,no,113,Clothing & Accessories,6,Women's Shops,4,Women's Sports Bras,Clothing & Accessories|Women|Activewear|Sports Bras & Underwear|Sports Bras,https://www.amazon.ca/dp/B071JVK8S4?psc=1,Blushing Rose/Black/White - 3 Pack,34,16.99,In Stock.,https://images-na.ssl-images-amazon.com/images/I/71c4iOPsdwL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71gK6ZYDS4L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71-%2BietuWlL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71CIuMWvoPL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71pERV5oyqL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/715US3mFhKL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81KjZhYOyIL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/813uSfO0FwL._AC_UL1500_.jpg
B076GWD7Y3,B076DMH8BN,Warners Womens Blissful Benefits No Muffin Top 3 Pack Lace Hipster Panties Hipster Panties,Warners,Amazon,no,114,Clothing & Accessories,7,Women's Shops,12,Women's Lingerie & Underwear,"Clothing & Accessories|Women|Lingerie, Sleep & Lounge|Lingerie & Underwear",https://www.amazon.ca/dp/B076GWD7Y3?psc=1,Black/Pale Pink/Dark Gray Heather,Small,14.29,In Stock.,https://images-na.ssl-images-amazon.com/images/I/817II-Vb%2BlL._AC_UL1500_.jpg
B076C3R98F,B076C4WC9V,GILDAN Womens Open Bottom Sweatpants Sweatpants,Gildan,Amazon,no,115,Clothing & Accessories,6,Women's Athletic Pants,,,Clothing & Accessories|Women|Activewear|Pants,https://www.amazon.ca/dp/B076C3R98F?psc=1,Sport Grey,Small,16.25,In Stock.,https://images-na.ssl-images-amazon.com/images/I/71bJ34DzeCL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71qZbPfvoTL._AC_UL1500_.jpg
B084ZHMTD1,B08561X3NR,Siggi Womens UPF50+ Summer Sunhat Bucket Packable Wide Brim Hats w/Chin Cord,Comhats,Comhats,yes,117,Clothing & Accessories,1,Women's Sun Hats,,,Clothing & Accessories|Women|Accessories|Hats & Caps|Sun Hats,https://www.amazon.ca/dp/B084ZHMTD1?psc=1,00021_navy(mask),,29.99,In Stock.,https://images-na.ssl-images-amazon.com/images/I/61G0Pp%2BmGLL._AC_UL1001_.jpg|https://images-na.ssl-images-amazon.com/images/I/71VXV1SNbqL._AC_UL1001_.jpg|https://images-na.ssl-images-amazon.com/images/I/41QSaog97gL._AC_.jpg|https://images-na.ssl-images-amazon.com/images/I/71vu95Mdk5L._AC_UL1001_.jpg|https://images-na.ssl-images-amazon.com/images/I/61saq8ZYl9L._AC_UL1001_.jpg|https://images-na.ssl-images-amazon.com/images/I/51Q3fHeH8RL._AC_.jpg
B0759SN3JL,B0759CZRKV,ZHENJIER 3 in 1 Postpartum Support - Recovery Belly/Waist/Pelvis Belt Shapewear,ZHENJIER,jimeng1,yes,118,Clothing & Accessories,2,Women's Shapewear,8,Women's Fitness Clothing,"Clothing & Accessories|Women|Lingerie, Sleep & Lounge|Lingerie & Underwear|Shapewear",https://www.amazon.ca/dp/B0759SN3JL?psc=1,,Small,30.99,In Stock.,https://images-na.ssl-images-amazon.com/images/I/71X9izZnzLL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71BeLDjEmAL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71mihO-GbyL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61mT%2BB4XjiL._AC_UL1000_.jpg|https://images-na.ssl-images-amazon.com/images/I/81BWjANQPcL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71uRUkXtpDL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71sWs6v2P2L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61VdmNoH47L._AC_UL1227_.jpg
